,cor,p,ratio
pmd_CyclomaticComplexity:,2.156495072887227,1.576682771325656e-41,7.290000000000008
pmd_CouplingBetweenObjects:,4.092381853054371,1.810059199191471e-10,8.410000000000009
pmd_GodClass:,4.0052410888260885,2.0644065971132787e-12,7.840000000000009
pmd_MutableStaticState:,0.12461246822047749,4.302337627600632e-24,12.250000000000016
pmd_CognitiveComplexity:,2.182595487938721,3.8443248140029257e-44,7.290000000000008
pmd_MethodReturnsInternalArray:,2.653721007799084,7.57294212825017e-06,11.560000000000015
pmd_ExcessiveImports:,4.024337452304607,7.705363569009927e-10,9.00000000000001
pmd_LooseCoupling:,2.069083295071113,1.8141628150635475e-40,9.00000000000001
pmd_NPathComplexity:,2.811251023877188,1.5682079252638777e-22,9.00000000000001
pmd_AvoidDuplicateLiterals:,3.7880905509369907,3.4828112088061104e-10,11.560000000000015
pmd_CheckSkipResult:,3.0445224465784197,0.7584987067109465,12.250000000000016
pmd_ExcessiveParameterList:,3.7628582911800073,0.3518639098858186,12.250000000000016
pmd_AvoidDeeplyNestedIfStmts:,2.3805571092256907,1.5300020180513564e-11,10.890000000000013
pmd_DataClass:,2.5873216552160745,0.016015440494940525,12.250000000000016
pmd_LawOfDemeter:,0.7353057842330067,1.4561903216819694e-76,8.410000000000009
pmd_NcssCount:,3.6514344098663396,2.675521421217482e-06,10.890000000000013
