,cor,p,ratio
sonar_java:S1700,3.5263605246307224,0.5373267154472744,12.250000000000016
sonar_java:S6813,2.0731808281576733,0.5796645140627144,12.250000000000016
sonar_java:S1479,5.003946341912116,0.6132555706829304,12.250000000000016
sonar_java:S1452,1.6359042264259016,0.47151942797754065,12.250000000000016
sonar_java:S1871,3.6036009291754154,0.01576139902163357,12.250000000000016
sonar_java:S1192,3.132669396954551,6.7847999645283125e-31,10.890000000000013
sonar_java:S5361,2.4635433942445584,0.3196217591627698,12.250000000000016
sonar_java:S116,2.379047583574302,0.007454612165489056,12.250000000000016
sonar_java:S1155,3.247684231711291,2.6582035338555474e-05,12.250000000000016
sonar_java:S1488,3.0245808948430106,0.00014282252620415568,11.560000000000015
sonar_java:S6548,2.7163490039284275,0.12075868270925191,12.250000000000016
sonar_java:S3010,3.7876800417528194,0.1678014325480598,12.250000000000016
sonar_java:S108,2.438671234925534,7.911324033725627e-06,11.560000000000015
sonar_java:S127,1.9799264280735838,0.0029486248165380632,12.250000000000016
sonar_java:S1940,4.119037175138646,0.55629399510742,12.250000000000016
sonar_java:S3776,2.352125386040145,9.262656071702722e-39,7.290000000000008
sonar_java:S1845,2.9653963901663367,0.0953971892224748,12.250000000000016
sonar_java:S3038,2.263511373924981,0.025082545845351446,12.250000000000016
sonar_java:S1133,2.491526231502414,5.1488723679395195e-27,11.560000000000015
sonar_java:S4719,2.9160895825449,0.4358506703884115,12.250000000000016
sonar_java:S3973,3.9576335169604966,0.48872458257888385,12.250000000000016
sonar_java:S1123,4.30114977073334,0.11724945361521973,12.250000000000016
sonar_java:S117,2.631938870678308,2.323669229999766e-14,12.250000000000016
sonar_java:S6213,3.3010278175256267,0.03731954193628456,12.250000000000016
sonar_java:S5261,3.9120230055137073,0.49374994795313687,12.250000000000016
sonar_java:S120,2.346798590136072,0.04293195664951902,12.250000000000016
sonar_java:S1150,1.791759469440551,0.856499350325174,12.250000000000016
sonar_java:S1444,2.227212659263795,1.120086764509894e-11,12.250000000000016
sonar_java:S107,3.0065000480276205,0.09626315661297909,12.250000000000016
sonar_java:S1948,2.3164701951061923,0.4594859024328706,12.250000000000016
sonar_java:S1596,3.3430268154866716,0.023508311969262143,12.250000000000016
sonar_java:S1066,2.4656168289595195,1.0117526894420484e-20,10.240000000000013
sonar_java:S1165,2.4849066498154997,0.8018960375617792,12.250000000000016
sonar_java:S2178,3.63098547720932,0.46329418555164026,12.250000000000016
sonar_java:S4144,2.4820652291158294,0.10846806143978555,12.250000000000016
sonar_java:S2176,2.7408400239326918,0.43374480303680274,12.250000000000016
sonar_java:S2160,2.760009940032922,0.06154367554431063,12.250000000000016
sonar_java:S3626,4.011336309698875,0.04716204869529865,12.250000000000016
sonar_java:S2387,1.791759469440551,0.856499350325174,12.250000000000016
sonar_java:S4087,1.4365508299012277,0.5616347095018057,12.250000000000016
sonar_java:S106,2.2127965910038228,2.4219651379191136e-08,12.250000000000016
sonar_java:S1301,4.125452191795409,0.10656606948806242,12.250000000000016
sonar_java:S1118,2.768049449806974,0.02024390014369532,12.250000000000016
sonar_java:S1121,3.5883318492472296,0.05965493045947142,12.250000000000016
sonar_java:S1104,2.0096340785404836,1.760414262197947e-12,12.250000000000016
sonar_java:S1264,2.6390573302367812,0.7898738982152804,12.250000000000016
sonar_java:S3457,3.0204248861446557,0.6662066850503113,12.250000000000016
sonar_java:S2737,4.69592454925748,0.5023601234389892,12.250000000000016
sonar_java:S4201,2.710306993143707,0.0024975724647756164,12.250000000000016
sonar_java:S3740,1.6098536295285584,0.0025627814384867487,12.250000000000016
sonar_java:S1874,2.2478055335214195,3.6436329691589785e-06,12.250000000000016
sonar_java:S115,3.2336186428223037,0.04407460609975922,12.250000000000016
sonar_java:S2130,3.3672958299866704,0.733803004731139,12.250000000000016
sonar_java:S2274,3.577947893408745,0.4190792505846396,12.250000000000016
sonar_java:S4042,3.7656766330144387,0.0813333923203091,12.250000000000016
sonar_java:S101,1.2527629684954507,0.7569322210499179,12.250000000000016
sonar_java:S1163,2.772588742893161,0.6277312005026199,12.250000000000016
sonar_java:S5411,3.081016893516785,0.3250559923574239,12.250000000000016
sonar_java:S4165,3.332204956932278,0.7364749204000951,12.250000000000016
sonar_java:S2065,2.833213344079513,0.7748035804984007,12.250000000000016
sonar_java:S100,2.2273139298088687,5.1461476902125e-08,12.250000000000016
sonar_java:S2447,4.465908124600038,0.6519352183197984,12.250000000000016
sonar_java:S3400,3.6375861597264088,0.4624812528936606,12.250000000000016
sonar_java:S3011,1.7068855838094614,0.4905687375317267,12.250000000000016
sonar_java:S5857,4.304065095916361,0.6637627149211918,12.250000000000016
sonar_java:S2112,3.9702919138626904,0.6884193937843448,12.250000000000016
