Class,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments
/ant/org.eclipse.ant.core/src/org/eclipse/ant/core/AntCorePlugin.java,49,15,0,34,1,1,32,15
/ant/org.eclipse.ant.core/src/org/eclipse/ant/core/AntCorePreferences.java,122,58,14,50,1,59,61,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/core/AntRunner.java,75,52,3,20,1,52,21,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/core/AntSecurityException.java,2,0,0,2,1,0,0,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/core/IAntClasspathEntry.java,5,0,0,5,1,0,3,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/core/IAntPropertyValueProvider.java,3,0,0,3,1,0,1,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/core/ProjectInfo.java,5,0,0,5,1,0,3,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/core/Property.java,16,4,0,12,1,4,10,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/core/TargetInfo.java,8,0,0,8,1,0,6,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/core/Task.java,4,0,0,4,1,0,2,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/core/Type.java,4,0,0,4,1,0,2,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/internal/core/AbstractEclipseBuildLogger.java,3,1,0,2,1,0,1,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/internal/core/AntClassLoader.java,13,11,0,2,1,8,4,0
/ant/org.eclipse.ant.core/src/org/eclipse/ant/internal/core/AntClasspathEntry.java,1,0,0,1,1,0,0,0
/ant/org.eclipse.ant.core/src/org/eclipse/ant/internal/core/AntCoreUtil.java,14,10,2,2,1,10,3,0
/ant/org.eclipse.ant.core/src/org/eclipse/ant/internal/core/AntObject.java,14,1,0,13,1,1,12,0
/ant/org.eclipse.ant.core/src/org/eclipse/ant/internal/core/AntPropertyValueProvider.java,8,5,0,3,1,5,1,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/internal/core/AntSecurityManager.java,31,23,0,8,1,14,8,8
/ant/org.eclipse.ant.core/src/org/eclipse/ant/internal/core/contentDescriber/AntBuildfileContentDescriber.java,18,15,1,2,1,15,1,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/internal/core/contentDescriber/AntHandler.java,21,14,1,6,1,5,14,1
/ant/org.eclipse.ant.core/src/org/eclipse/ant/internal/core/IAntCoreConstants.java,42,25,0,17,1,0,25,16
