class,loc,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments,pmd_ExcessiveImports:,pmd_CouplingBetweenObjects:,pmd_GodClass:,pmd_CyclomaticComplexity:,pmd_CognitiveComplexity:,pmd_MethodReturnsInternalArray:,pmd_LooseCoupling:,pmd_LawOfDemeter:,pmd_NPathComplexity:,pmd_DataClass:,pmd_MutableStaticState:,pmd_AvoidDeeplyNestedIfStmts:,pmd_AvoidDuplicateLiterals:,pmd_NcssCount:,pmd_ExcessiveParameterList:,pmd_CheckSkipResult:,pmd_-,sonar_java:S3008,sonar_java:S2696,sonar_java:S3776,sonar_java:S1066,sonar_java:S1124,sonar_java:S4929,sonar_java:S4042,sonar_java:S1197,sonar_java:S6548,sonar_java:S1155,sonar_java:S117,sonar_java:S125,sonar_java:S2589,sonar_java:S2864,sonar_java:S1141,sonar_java:S1121,sonar_java:S2438,sonar_java:S1192,sonar_java:S1186,sonar_java:S112,sonar_java:S1163,sonar_java:S1172,sonar_java:S6539,sonar_java:S4968,sonar_java:S106,sonar_java:S3252,sonar_java:S1452,sonar_java:S5993,sonar_java:S1118,sonar_java:S2129,sonar_java:S1149,sonar_java:S1659,sonar_java:S116,sonar_java:S1170,sonar_java:S1488,sonar_java:S1948,sonar_java:S1874,sonar_java:S1117,sonar_java:S3740,sonar_java:S1845,sonar_java:S1612,sonar_java:S1128,sonar_java:S1214,sonar_java:S1075,sonar_java:S3398,sonar_java:S3626,sonar_java:S1104,sonar_java:S1444,sonar_java:S4719,sonar_java:S1168,sonar_java:S115,sonar_java:S3038,sonar_java:S135,sonar_java:S1905,sonar_java:S1301,sonar_java:S131,sonar_java:S4201,sonar_java:S1319,sonar_java:S6541,sonar_java:S2160,sonar_java:S1210,sonar_java:S1602,sonar_java:S1130,sonar_java:S4635,sonar_java:S2147,sonar_java:S3516,sonar_java:S1596,sonar_java:S3012,sonar_java:S1871,sonar_java:S1199,sonar_java:S2692,sonar_java:S127,sonar_java:S107,sonar_java:S4276,sonar_java:S5411,sonar_java:S2388,sonar_java:S6813,sonar_java:S2386,sonar_java:S1150,sonar_java:S3878,sonar_java:S1450,sonar_java:S120,sonar_java:S3824,sonar_java:S3010,sonar_java:S1135,sonar_java:S2130,sonar_java:S4144,sonar_java:S1854,sonar_java:S6213,sonar_java:S1133,sonar_java:S5261,sonar_java:S1126,sonar_java:S1134,sonar_java:S1119,sonar_java:S1643,sonar_java:S108,sonar_java:S1125,sonar_java:S1181,sonar_java:S6353,sonar_java:S1165,sonar_java:S3011,sonar_java:S2975,sonar_java:S100,sonar_java:S101,sonar_java:S5361,sonar_java:S1185,sonar_java:S3358,sonar_java:S2112,sonar_java:S1123,sonar_java:S2274,sonar_java:S1604,sonar_java:S2176,sonar_java:S1940,sonar_java:S3457,sonar_java:S2178,sonar_java:S2293,sonar_java:S2387,sonar_java:S1264,sonar_java:S1858,sonar_java:S1193,sonar_java:S3973,sonar_java:S4165,sonar_java:S2479,sonar_java:S1171,sonar_java:S4087,sonar_java:S1110,sonar_java:S1479,sonar_java:S2737,sonar_java:S128,sonar_java:S2447,sonar_java:S3400,sonar_java:S1215,sonar_java:S1700,sonar_java:S3972,sonar_java:S1182,sonar_java:S2065,sonar_java:S5857,sonar_java:S2234
/update/org.eclipse.update.configurator/src/org/eclipse/update/internal/configurator/branding/AboutInfo.java,95,44,24,2,18,1,20,21,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/runtime/bundles/org.eclipse.e4.core.services/src/org/eclipse/e4/core/internal/services/about/AboutMessages.java,20,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/runtime/bundles/org.eclipse.e4.core.services/src/org/eclipse/e4/core/services/about/AboutSections.java,12,9,0,0,9,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/ant/org.eclipse.ant.ui/Ant Tools Support/org/eclipse/ant/internal/ui/preferences/AbstractAntEditorPreferencePage.java,285,7,3,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/debug/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/memory/provisional/AbstractAsyncTableRendering.java,2116,252,188,1,63,1,176,68,7,1,1,1,5,6,0,2,26,5,0,0,0,0,2,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/debug/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/memory/provisional/AbstractAsyncTextRendering.java,68,7,1,0,6,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/debug/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/views/memory/renderings/AbstractBaseTableRendering.java,35,20,0,1,19,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/debug/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/viewers/breadcrumb/AbstractBreadcrumb.java,151,22,3,0,19,1,3,17,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/debug/org.eclipse.debug.ui/ui/org/eclipse/debug/ui/AbstractBreakpointOrganizerDelegate.java,63,8,3,2,3,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/debug/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/actions/breakpointGroups/AbstractBreakpointsViewAction.java,28,3,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
