class,smell,description
/runtime/bundles/org.eclipse.core.jobs/src/org/eclipse/core/internal/jobs/JobManager.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/runtime/bundles/org.eclipse.core.jobs/src/org/eclipse/core/internal/jobs/JobMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/team/bundles/org.eclipse.compare/compare/org/eclipse/compare/internal/CompareMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/resources/bundles/org.eclipse.core.resources/src/org/eclipse/core/internal/resources/undo/snapshot/ResourceSnapshotMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/resources/bundles/org.eclipse.core.resources/src/org/eclipse/core/internal/resources/undo/snapshot/ResourceSnapshotMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/resources/bundles/org.eclipse.core.resources/src/org/eclipse/core/internal/resources/undo/snapshot/ResourceSnapshotMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/resources/bundles/org.eclipse.core.resources/src/org/eclipse/core/internal/resources/undo/snapshot/ResourceSnapshotMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/ua/org.eclipse.tips.ide/src/org/eclipse/tips/ide/internal/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/resources/bundles/org.eclipse.core.resources/src/org/eclipse/core/internal/utils/Policy.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/resources/bundles/org.eclipse.core.resources/src/org/eclipse/core/internal/utils/Policy.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.debug.core/core/org/eclipse/debug/internal/core/DebugCoreMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/DebugUIMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.ui.console/src/org/eclipse/ui/internal/console/ansi/AnsiMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/debug/org.eclipse.debug.ui/ui/org/eclipse/debug/internal/ui/launchConfigurations/LaunchConfigurationsMessages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/resources/bundles/org.eclipse.core.resources/src/org/eclipse/core/internal/utils/Messages.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
/resources/bundles/org.eclipse.core.resources/src/org/eclipse/core/internal/utils/Policy.java,java:S3008,"Rename this field ""DEBUG_BLOCKED_UNBLOCKED"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'."
