,cor,p,ratio
pmd_CyclomaticComplexity:,2.3318692561249987,4.651601895599086e-05,6.250000000000006
pmd_CouplingBetweenObjects:,3.7841896339212133,0.002617446650793047,6.760000000000008
pmd_GodClass:,3.812123952993122,0.0007891797507224462,6.250000000000006
pmd_MutableStaticState:,2.0437229987873495,0.1069110266583778,9.00000000000001
pmd_CognitiveComplexity:,3.064214022767125,0.0008581707208496846,7.840000000000009
pmd_MethodReturnsInternalArray:,3.5169729520123743,0.2865784499927291,9.00000000000001
pmd_ExcessiveImports:,3.9239515762947055,0.005072440454117137,6.760000000000008
pmd_LooseCoupling:,1.7586033619501946,4.975918560162899e-07,7.840000000000009
pmd_NPathComplexity:,3.1381150175061556,0.013305841742191467,7.840000000000009
pmd_AvoidDuplicateLiterals:,2.4868795150325944,0.036937414117104,8.410000000000009
pmd_AvoidDeeplyNestedIfStmts:,2.5070312605946556,0.44754176050085503,9.00000000000001
pmd_DataClass:,3.162305473421462,0.07083255655517083,8.410000000000009
pmd_LawOfDemeter:,1.2268242232519637,2.283060997945688e-13,7.290000000000008
pmd_NcssCount:,3.718438325338416,0.4010413853729532,9.00000000000001
