Class,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments
/flow-client/src/main/java/com/vaadin/client/ApplicationConfiguration.java,38,0,1,37,1,0,36,1
/flow-client/src/main/java/com/vaadin/client/ApplicationConnection.java,22,12,3,7,1,12,8,1
/flow-client/src/main/java/com/vaadin/client/bootstrap/Bootstrapper.java,17,3,7,7,1,4,11,1
/flow-client/src/main/java/com/vaadin/client/bootstrap/ErrorMessage.java,7,1,5,1,1,1,4,1
/flow-client/src/main/java/com/vaadin/client/bootstrap/JsoConfiguration.java,22,1,10,11,1,1,19,1
/flow-client/src/main/java/com/vaadin/client/bootstrap/LocationParser.java,4,1,1,2,1,1,1,1
/flow-client/src/main/java/com/vaadin/client/BrowserInfo.java,26,2,6,18,1,1,23,1
/flow-client/src/main/java/com/vaadin/client/Command.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/communication/AtmospherePushConnection.java,73,19,12,42,1,23,48,1
/flow-client/src/main/java/com/vaadin/client/communication/ConnectionStateHandler.java,19,0,1,18,1,0,17,1
/flow-client/src/main/java/com/vaadin/client/communication/DefaultConnectionStateHandler.java,55,41,3,11,1,44,9,1
/flow-client/src/main/java/com/vaadin/client/communication/Heartbeat.java,9,2,1,6,1,2,5,1
/flow-client/src/main/java/com/vaadin/client/communication/LoadingIndicatorConfigurator.java,5,1,1,3,1,1,2,1
/flow-client/src/main/java/com/vaadin/client/communication/MessageHandler.java,85,48,9,28,1,51,32,1
/flow-client/src/main/java/com/vaadin/client/communication/MessageSender.java,30,14,4,12,1,16,12,1
/flow-client/src/main/java/com/vaadin/client/communication/PollConfigurator.java,4,1,1,2,1,1,1,1
/flow-client/src/main/java/com/vaadin/client/communication/Poller.java,6,0,1,5,1,0,4,1
/flow-client/src/main/java/com/vaadin/client/communication/PushConfiguration.java,17,8,1,8,1,8,7,1
/flow-client/src/main/java/com/vaadin/client/communication/PushConnection.java,7,0,1,6,1,0,5,1
/flow-client/src/main/java/com/vaadin/client/communication/PushConnectionFactory.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/communication/ReconnectConfiguration.java,8,0,1,7,1,0,6,1
/flow-client/src/main/java/com/vaadin/client/communication/RequestResponseTracker.java,19,9,1,9,1,9,8,1
/flow-client/src/main/java/com/vaadin/client/communication/RequestStartingEvent.java,7,1,1,5,1,1,4,1
/flow-client/src/main/java/com/vaadin/client/communication/ResponseHandlingEndedEvent.java,7,1,1,5,1,1,4,1
/flow-client/src/main/java/com/vaadin/client/communication/ResponseHandlingStartedEvent.java,7,1,1,5,1,1,4,1
/flow-client/src/main/java/com/vaadin/client/communication/ServerConnector.java,12,1,1,10,1,1,9,1
/flow-client/src/main/java/com/vaadin/client/communication/ServerRpcQueue.java,15,4,1,10,1,4,9,1
/flow-client/src/main/java/com/vaadin/client/communication/XhrConnection.java,20,10,2,8,1,10,8,1
/flow-client/src/main/java/com/vaadin/client/communication/XhrConnectionError.java,6,0,1,5,1,0,4,1
/flow-client/src/main/java/com/vaadin/client/ConnectionIndicator.java,14,1,5,8,1,1,10,2
/flow-client/src/main/java/com/vaadin/client/Console.java,15,5,3,7,1,4,9,1
/flow-client/src/main/java/com/vaadin/client/DefaultRegistry.java,8,5,1,2,1,5,1,1
/flow-client/src/main/java/com/vaadin/client/DependencyLoader.java,17,9,1,7,1,8,7,1
/flow-client/src/main/java/com/vaadin/client/ElementUtil.java,6,1,2,3,1,1,3,1
/flow-client/src/main/java/com/vaadin/client/ExecuteJavaScriptElementUtils.java,7,1,2,4,1,1,4,1
/flow-client/src/main/java/com/vaadin/client/ExistingElementMap.java,8,2,1,5,1,0,5,2
/flow-client/src/main/java/com/vaadin/client/flow/binding/Binder.java,4,0,1,3,1,0,2,1
/flow-client/src/main/java/com/vaadin/client/flow/binding/BinderContext.java,5,0,1,4,1,0,3,1
/flow-client/src/main/java/com/vaadin/client/flow/binding/BindingStrategy.java,6,0,1,5,1,0,4,1
/flow-client/src/main/java/com/vaadin/client/flow/binding/Debouncer.java,26,20,2,4,1,21,3,1
/flow-client/src/main/java/com/vaadin/client/flow/binding/ServerEventHandlerBinder.java,5,1,1,3,1,1,2,1
/flow-client/src/main/java/com/vaadin/client/flow/binding/ServerEventObject.java,18,0,7,11,1,0,16,1
/flow-client/src/main/java/com/vaadin/client/flow/binding/SimpleElementBindingStrategy.java,87,70,10,7,1,76,9,1
/flow-client/src/main/java/com/vaadin/client/flow/binding/TextBindingStrategy.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/flow/collection/jre/JreJsArray.java,10,2,1,7,1,2,6,1
/flow-client/src/main/java/com/vaadin/client/flow/collection/jre/JreJsMap.java,3,1,1,1,1,1,0,1
/flow-client/src/main/java/com/vaadin/client/flow/collection/jre/JreJsSet.java,5,2,1,2,1,2,1,1
/flow-client/src/main/java/com/vaadin/client/flow/collection/jre/JreJsWeakMap.java,4,0,3,1,1,1,1,1
/flow-client/src/main/java/com/vaadin/client/flow/collection/JsArray.java,25,3,7,15,1,2,19,3
/flow-client/src/main/java/com/vaadin/client/flow/collection/JsCollections.java,17,4,4,9,1,4,11,1
/flow-client/src/main/java/com/vaadin/client/flow/collection/JsMap.java,15,1,1,13,1,1,12,1
/flow-client/src/main/java/com/vaadin/client/flow/collection/JsSet.java,11,1,1,9,1,1,8,1
/flow-client/src/main/java/com/vaadin/client/flow/collection/JsWeakMap.java,6,0,1,5,1,0,4,1
/flow-client/src/main/java/com/vaadin/client/flow/ConstantPool.java,6,1,1,4,1,1,3,1
/flow-client/src/main/java/com/vaadin/client/flow/dom/DomApi.java,7,1,1,5,1,1,4,1
/flow-client/src/main/java/com/vaadin/client/flow/dom/DomApiImpl.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/flow/dom/DomElement.java,19,0,1,18,1,0,17,1
/flow-client/src/main/java/com/vaadin/client/flow/dom/DomNode.java,16,0,1,15,1,0,14,1
/flow-client/src/main/java/com/vaadin/client/flow/dom/PolymerDomApiImpl.java,8,1,1,6,1,1,5,1
/flow-client/src/main/java/com/vaadin/client/flow/ExecuteJavaScriptProcessor.java,8,2,2,4,1,2,4,1
/flow-client/src/main/java/com/vaadin/client/flow/model/UpdatableModelProperties.java,4,0,1,3,1,0,2,1
/flow-client/src/main/java/com/vaadin/client/flow/nodefeature/ListSpliceEvent.java,7,0,1,6,1,0,5,1
/flow-client/src/main/java/com/vaadin/client/flow/nodefeature/ListSpliceListener.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/flow/nodefeature/MapProperty.java,33,15,2,16,1,16,15,1
/flow-client/src/main/java/com/vaadin/client/flow/nodefeature/MapPropertyAddEvent.java,4,0,1,3,1,0,2,1
/flow-client/src/main/java/com/vaadin/client/flow/nodefeature/MapPropertyAddListener.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/flow/nodefeature/MapPropertyChangeEvent.java,5,0,1,4,1,0,3,1
/flow-client/src/main/java/com/vaadin/client/flow/nodefeature/MapPropertyChangeListener.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/flow/nodefeature/NodeFeature.java,8,0,1,7,1,0,6,1
/flow-client/src/main/java/com/vaadin/client/flow/nodefeature/NodeList.java,15,2,1,12,1,2,11,1
/flow-client/src/main/java/com/vaadin/client/flow/nodefeature/NodeMap.java,10,2,1,7,1,2,6,1
/flow-client/src/main/java/com/vaadin/client/flow/NodeUnregisterEvent.java,4,0,1,3,1,0,2,1
/flow-client/src/main/java/com/vaadin/client/flow/NodeUnregisterListener.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/flow/reactive/Computation.java,13,4,1,8,1,4,7,1
/flow-client/src/main/java/com/vaadin/client/flow/reactive/FlushListener.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/flow/reactive/InvalidateEvent.java,4,0,1,3,1,0,2,1
/flow-client/src/main/java/com/vaadin/client/flow/reactive/InvalidateListener.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/flow/reactive/Reactive.java,17,6,1,10,1,5,10,1
/flow-client/src/main/java/com/vaadin/client/flow/reactive/ReactiveEventRouter.java,10,0,1,9,1,0,8,1
/flow-client/src/main/java/com/vaadin/client/flow/reactive/ReactiveValue.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/flow/reactive/ReactiveValueChangeEvent.java,4,0,1,3,1,0,2,1
/flow-client/src/main/java/com/vaadin/client/flow/reactive/ReactiveValueChangeListener.java,3,0,1,2,1,0,1,1
/flow-client/src/main/java/com/vaadin/client/flow/StateNode.java,22,1,1,20,1,1,19,1
/flow-client/src/main/java/com/vaadin/client/flow/StateTree.java,31,6,2,23,1,6,23,1
/flow-client/src/main/java/com/vaadin/client/flow/TreeChangeProcessor.java,9,5,1,3,1,5,2,1
/flow-client/src/main/java/com/vaadin/client/flow/util/ClientJsonCodec.java,11,3,2,6,1,3,6,1
/flow-client/src/main/java/com/vaadin/client/flow/util/JsObject.java,6,2,1,3,1,0,4,1
/flow-client/src/main/java/com/vaadin/client/flow/util/NativeFunction.java,7,0,2,5,1,1,4,1
/flow-client/src/main/java/com/vaadin/client/gwt/com/google/web/bindery/event/shared/SimpleEventBus.java,12,3,1,8,1,3,7,1
/flow-client/src/main/java/com/vaadin/client/gwt/elemental/js/util/Xhr.java,15,2,2,11,1,2,11,1
/flow-client/src/main/java/com/vaadin/client/InitialPropertiesHandler.java,7,0,2,5,1,1,4,1
/flow-client/src/main/java/com/vaadin/client/LitUtils.java,6,0,3,3,1,0,4,1
/flow-client/src/main/java/com/vaadin/client/PolymerUtils.java,35,0,14,21,1,0,33,1
/flow-client/src/main/java/com/vaadin/client/Profiler.java,55,8,19,28,1,9,44,1
/flow-client/src/main/java/com/vaadin/client/Registry.java,31,1,1,29,1,1,28,1
/flow-client/src/main/java/com/vaadin/client/ResourceLoader.java,41,14,6,21,1,14,25,1
/flow-client/src/main/java/com/vaadin/client/StorageUtil.java,10,0,5,5,1,0,8,1
/flow-client/src/main/java/com/vaadin/client/SystemErrorHandler.java,16,4,3,9,1,4,10,1
/flow-client/src/main/java/com/vaadin/client/TrackingScheduler.java,4,0,1,3,1,0,2,1
/flow-client/src/main/java/com/vaadin/client/UILifecycle.java,16,2,1,13,1,1,13,1
/flow-client/src/main/java/com/vaadin/client/URIResolver.java,6,0,1,5,1,0,4,1
/flow-client/src/main/java/com/vaadin/client/ValueMap.java,13,0,6,7,1,0,11,1
/flow-client/src/main/java/com/vaadin/client/WidgetUtil.java,42,2,18,22,1,1,39,1
/flow-client/src/main/java/com/vaadin/flow/linker/ClientEngineLinker.java,15,4,8,3,1,4,9,1
/flow-client/src/test/java/com/vaadin/client/AssertionTest.java,3,1,1,1,1,1,0,1
/flow-client/src/test/java/com/vaadin/client/bootstrap/LocationParserTest.java,1,0,1,0,1,0,0,0
/flow-client/src/test/java/com/vaadin/client/CodeTest.java,3,0,1,2,1,0,1,1
/flow-client/src/test/java/com/vaadin/client/communication/AbstractConfigurationTest.java,3,2,1,0,1,2,0,0
/flow-client/src/test/java/com/vaadin/client/communication/PollConfiguratorTest.java,1,0,1,0,1,0,0,0
/flow-client/src/test/java/com/vaadin/client/communication/ReconnectConfigurationTest.java,5,4,1,0,1,4,0,0
/flow-client/src/test/java/com/vaadin/client/communication/ServerMessageHandlerTest.java,2,0,1,1,1,0,0,1
/flow-client/src/test/java/com/vaadin/client/DependencyLoaderTest.java,2,0,1,1,1,0,0,1
/flow-client/src/test/java/com/vaadin/client/DomApiAbstractionUsageTest.java,5,4,0,1,0,4,1,0
/flow-client/src/test/java/com/vaadin/client/ExistingElementMapTest.java,1,0,1,0,1,0,0,0
/flow-client/src/test/java/com/vaadin/client/flow/ClientEngineSizeIT.java,2,2,0,0,0,2,0,0
/flow-client/src/test/java/com/vaadin/client/flow/collection/JreArrayTest.java,10,9,1,0,1,9,0,0
/flow-client/src/test/java/com/vaadin/client/flow/collection/JreMapTest.java,1,0,1,0,1,0,0,0
/flow-client/src/test/java/com/vaadin/client/flow/collection/JreSetTest.java,2,1,1,0,1,1,0,0
/flow-client/src/test/java/com/vaadin/client/flow/collection/JreWeakMapTest.java,4,3,1,0,1,3,0,0
/flow-client/src/test/java/com/vaadin/client/flow/ExecuteJavaScriptProcessorTest.java,12,11,1,0,1,11,0,0
/flow-client/src/test/java/com/vaadin/client/flow/nodefeature/MapPropertyTest.java,6,5,1,0,1,5,0,0
/flow-client/src/test/java/com/vaadin/client/flow/nodefeature/NodeListTest.java,1,0,1,0,1,0,0,0
/flow-client/src/test/java/com/vaadin/client/flow/nodefeature/NodeMapTest.java,4,3,1,0,1,3,0,0
/flow-client/src/test/java/com/vaadin/client/flow/reactive/ComputationTest.java,4,3,1,0,1,3,0,0
/flow-client/src/test/java/com/vaadin/client/flow/reactive/CountingComputation.java,1,0,1,0,1,0,0,0
/flow-client/src/test/java/com/vaadin/client/flow/reactive/ReactiveTest.java,1,0,1,0,1,0,0,0
/flow-client/src/test/java/com/vaadin/client/flow/reactive/TestReactiveEventRouter.java,2,1,1,0,1,1,0,0
/flow-client/src/test/java/com/vaadin/client/flow/StateNodeTest.java,1,0,1,0,1,0,0,0
/flow-client/src/test/java/com/vaadin/client/flow/StateTreeTest.java,4,3,1,0,1,3,0,0
/flow-client/src/test/java/com/vaadin/client/flow/TreeChangeProcessorTest.java,5,4,1,0,1,4,0,0
/flow-client/src/test/java/com/vaadin/client/flow/util/ClientJsonCodecTest.java,1,0,1,0,1,0,0,0
/flow-client/src/test/java/com/vaadin/client/InitialPropertiesHandlerTest.java,1,0,1,0,1,0,0,0
/flow-client/src/test/java/com/vaadin/client/RegistryTest.java,0,0,0,0,0,0,0,0
/flow-client/src/test/java/com/vaadin/client/UILifecycleTest.java,0,0,0,0,0,0,0,0
/flow-client/src/test-gwt/java/com/vaadin/client/ClientEngineTestBase.java,2,0,1,1,0,0,1,1
/flow-client/src/test-gwt/java/com/vaadin/client/communication/GwtAtmoshperePushConnectionTest.java,6,0,5,1,1,0,4,1
/flow-client/src/test-gwt/java/com/vaadin/client/communication/GwtDefaultConnectionStateHandlerTest.java,6,4,2,0,0,4,2,0
/flow-client/src/test-gwt/java/com/vaadin/client/CustomScheduler.java,1,0,1,0,1,0,0,0
/flow-client/src/test-gwt/java/com/vaadin/client/flow/collection/GwtJsArrayTest.java,12,10,1,1,1,10,1,0
/flow-client/src/test-gwt/java/com/vaadin/client/flow/collection/GwtJsMapTest.java,3,1,1,1,1,1,1,0
/flow-client/src/test-gwt/java/com/vaadin/client/flow/collection/GwtJsSetTest.java,4,2,1,1,1,2,1,0
/flow-client/src/test-gwt/java/com/vaadin/client/flow/collection/GwtJsWeakMapTest.java,4,3,1,0,1,3,0,0
/flow-client/src/test-gwt/java/com/vaadin/client/flow/dom/GwtDomApiTest.java,1,0,1,0,0,0,1,0
/flow-client/src/test-gwt/java/com/vaadin/client/flow/dom/GwtPolymerApiImplTest.java,0,0,0,0,0,0,0,0
/flow-client/src/test-gwt/java/com/vaadin/client/flow/GwtBasicElementBinderTest.java,76,59,9,8,1,59,16,0
/flow-client/src/test-gwt/java/com/vaadin/client/flow/GwtErrotHandlerTest.java,1,0,1,0,1,0,0,0
