class,loc,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments,pmd_DataClass:,pmd_MethodReturnsInternalArray:,pmd_CyclomaticComplexity:,pmd_CognitiveComplexity:,pmd_GodClass:,pmd_LooseCoupling:,pmd_NcssCount:,pmd_NPathComplexity:,pmd_CouplingBetweenObjects:,pmd_LawOfDemeter:,pmd_AvoidDeeplyNestedIfStmts:,pmd_ExcessiveImports:,pmd_MutableStaticState:,pmd_AvoidDuplicateLiterals:,pmd_ExcessiveParameterList:,sonar_java:S1948,sonar_java:S6204,sonar_java:S3740,sonar_java:S3776,sonar_java:S3457,sonar_java:S6539,sonar_java:S1128,sonar_java:S1192,sonar_java:S1133,sonar_java:S6126,sonar_java:S2629,sonar_java:S6355,sonar_java:S1874,sonar_java:S1602,sonar_java:S1126,sonar_java:S1186,sonar_java:S3008,sonar_java:S6035,sonar_java:S5738,sonar_java:S1161,sonar_java:S4042,sonar_java:S112,sonar_java:S4274,sonar_java:S5361,sonar_java:S1075,sonar_java:S116,sonar_java:S6813,sonar_java:S2139,sonar_java:S1117,sonar_java:S1116,sonar_java:S1181,sonar_java:S1118,sonar_java:S127,sonar_java:S6201,sonar_java:S3011,sonar_java:S2696,sonar_java:S3398,sonar_java:S3864,sonar_java:S1659,sonar_java:S1124,sonar_java:S1612,sonar_java:S2589,sonar_java:S1854,sonar_java:S1481,sonar_java:S1604,sonar_java:S1611,sonar_java:S2293,sonar_java:S6207,sonar_java:S1319,sonar_java:S5411,sonar_java:S1488,sonar_java:S1135,sonar_java:S1130,sonar_java:S1172,sonar_java:S108,sonar_java:S1197,sonar_java:S1168,sonar_java:S6541,sonar_java:S4968,sonar_java:S4276,sonar_java:S1066,sonar_java:S4719,sonar_java:S2065,sonar_java:S1214,sonar_java:S1643,sonar_java:S1210,sonar_java:S1871,sonar_java:S125,sonar_java:S135,sonar_java:S1144,sonar_java:S1134,sonar_java:S1182,sonar_java:S2975,sonar_java:S3824,sonar_java:S2093,sonar_java:S6830,sonar_java:S2094,sonar_java:S3358,sonar_java:S3252,sonar_java:S106,sonar_java:S1185,sonar_java:S1104,sonar_java:S1123,sonar_java:S1141,sonar_java:S2864,sonar_java:S1452,sonar_java:S2326,sonar_java:S6548,sonar_java:S1155,sonar_java:S1193,sonar_java:S6353,sonar_java:S107,sonar_java:S119,sonar_java:S3878,sonar_java:S1068,sonar_java:S5993,sonar_java:S1149,sonar_java:S2176,sonar_java:S2160,sonar_java:S4449,sonar_java:S4034,sonar_java:S1905,sonar_java:S1125,sonar_java:S4201,sonar_java:S6397,sonar_java:S6206,sonar_java:S6208,sonar_java:S3516,sonar_java:S1450,sonar_java:S1170,sonar_java:S3626,sonar_java:S4144,sonar_java:S100,sonar_java:S1700,sonar_java:S1153
/flow-server/src/main/java/com/vaadin/flow/server/startup/AbstractAnnotationValidator.java,113,13,4,1,8,1,4,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/flow-server/src/main/java/com/vaadin/flow/component/internal/AbstractAttachDetachEvent.java,19,5,0,1,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/flow-data/src/main/java/com/vaadin/flow/data/provider/AbstractBackEndDataProvider.java,43,4,0,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/flow-data/src/main/java/com/vaadin/flow/data/provider/hierarchy/AbstractBackEndHierarchicalDataProvider.java,47,3,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/flow-polymer-template/src/main/java/com/vaadin/flow/templatemodel/AbstractBasicModelType.java,77,6,3,0,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/flow-data/src/main/java/com/vaadin/flow/data/binder/AbstractBeanPropertyDefinition.java,53,4,0,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/flow-data/src/main/java/com/vaadin/flow/data/provider/AbstractComponentDataGenerator.java,69,7,0,1,6,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/flow-server/src/main/java/com/vaadin/flow/component/AbstractCompositeField.java,44,6,0,1,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/flow-server/src/main/java/com/vaadin/flow/server/AbstractConfiguration.java,107,18,0,2,16,1,1,15,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/flow-server/src/main/java/com/vaadin/flow/server/startup/AbstractConfigurationFactory.java,174,17,11,1,5,1,11,4,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
