class,smell,description
/vaadin-dev-server/src/main/java/com/vaadin/base/devserver/startup/DevModeStartupListener.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/i18n/DefaultI18NProvider.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/i18n/DefaultI18NProvider.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/server/VaadinService.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/vaadin-dev-server/src/main/java/com/vaadin/base/devserver/DebugWindowConnection.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/server/PwaRegistry.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/server/frontend/scanner/EntryPointData.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/vaadin-dev-server/src/main/java/com/vaadin/base/devserver/themeeditor/messages/RulesRequest.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/vaadin-dev-server/src/main/java/com/vaadin/base/devserver/themeeditor/messages/LoadRulesResponse.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/vaadin-dev-server/src/main/java/com/vaadin/base/devserver/DebugWindowConnection.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/server/frontend/Options.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/vaadin-dev-server/src/main/java/com/vaadin/base/devserver/DebugWindowConnection.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/hierarchy/HierarchicalDataCommunicator.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/vaadin-dev-server/src/main/java/com/vaadin/base/devserver/ProductAndMessage.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/experimental/FeatureFlags.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/vaadin-dev-server/src/main/java/com/vaadin/base/devserver/AbstractDevServerRunner.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/vaadin-dev-server/src/main/java/com/vaadin/base/devserver/DebugWindowMessage.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/server/AppShellRegistry.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/CompositeDataGenerator.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/hierarchy/HierarchyMapper.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/DataCommunicator.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-lit-template/src/main/java/com/vaadin/flow/component/littemplate/LitTemplateDataAnalyzer.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/vaadin-dev-server/src/main/java/com/vaadin/base/devserver/DebugWindowConnection.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/server/webcomponent/WebComponentConfigurationRegistry.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/hierarchy/HierarchicalQuery.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/hierarchy/HierarchyMapper.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/hierarchy/HierarchyMapper.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/hierarchy/HierarchyMapper.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/hierarchy/HierarchyMapper.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/hierarchy/TreeData.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/hierarchy/TreeData.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/provider/hierarchy/TreeData.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/binder/ReadOnlyHasValue.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/binder/ReadOnlyHasValue.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/binder/ReadOnlyHasValue.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-data/src/main/java/com/vaadin/flow/data/binder/ReadOnlyHasValue.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/component/AbstractField.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/component/AbstractField.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/component/internal/AbstractFieldSupport.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
/flow-server/src/main/java/com/vaadin/flow/component/internal/AbstractFieldSupport.java,java:S1948,"Make ""devModeHandlerManager"" transient or serializable."
