Class,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments
/android/guava/src/com/google/common/annotations/Beta.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/annotations/GwtCompatible.java,4,0,1,3,1,2,0,1
/android/guava/src/com/google/common/annotations/GwtIncompatible.java,3,0,1,2,1,1,0,1
/android/guava/src/com/google/common/annotations/J2ktIncompatible.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/annotations/package-info.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/annotations/VisibleForTesting.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/base/Absent.java,4,2,1,1,1,2,0,1
/android/guava/src/com/google/common/base/AbstractIterator.java,4,2,1,1,1,2,0,1
/android/guava/src/com/google/common/base/Ascii.java,69,14,2,53,1,10,52,6
/android/guava/src/com/google/common/base/CaseFormat.java,12,2,1,9,1,10,0,1
/android/guava/src/com/google/common/base/CharMatcher.java,129,50,2,77,1,25,90,13
/android/guava/src/com/google/common/base/Charsets.java,13,4,2,7,1,4,6,2
/android/guava/src/com/google/common/base/CommonMatcher.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/base/CommonPattern.java,3,1,1,1,1,0,1,1
/android/guava/src/com/google/common/base/Converter.java,30,7,8,15,1,4,19,6
/android/guava/src/com/google/common/base/Defaults.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/base/ElementTypesAreNonnullByDefault.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/base/Enums.java,9,4,1,4,1,4,3,1
/android/guava/src/com/google/common/base/Equivalence.java,24,3,4,17,1,4,18,1
/android/guava/src/com/google/common/base/ExtraObjectsMethodsForWeb.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/base/FinalizablePhantomReference.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/base/FinalizableReference.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/base/FinalizableReferenceQueue.java,29,10,4,15,1,10,16,2
/android/guava/src/com/google/common/base/FinalizableSoftReference.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/base/FinalizableWeakReference.java,3,0,1,2,1,0,1,1
/android/guava/src/com/google/common/base/Function.java,4,0,1,3,1,0,2,1
/android/guava/src/com/google/common/base/FunctionalEquivalence.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/base/Functions.java,20,8,1,11,1,5,12,2
/android/guava/src/com/google/common/base/IgnoreJRERequirement.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/base/internal/Finalizer.java,21,7,6,8,2,8,8,3
/android/guava/src/com/google/common/base/Internal.java,8,5,1,2,1,4,2,1
/android/guava/src/com/google/common/base/Java8Compatibility.java,2,0,1,1,1,0,0,1
/android/guava/src/com/google/common/base/JdkPattern.java,2,0,1,1,1,0,0,1
