class,loc,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments,pmd_CouplingBetweenObjects:,pmd_LooseCoupling:,pmd_AvoidDuplicateLiterals:,pmd_CyclomaticComplexity:,pmd_GodClass:,pmd_ExcessiveImports:,pmd_NcssCount:,pmd_CognitiveComplexity:,pmd_DataClass:,pmd_LawOfDemeter:,pmd_NPathComplexity:,pmd_AvoidDeeplyNestedIfStmts:,pmd_MutableStaticState:,pmd_ExcessiveParameterList:,pmd_MethodReturnsInternalArray:,sonar_java:S2293,sonar_java:S1905,sonar_java:S4738,sonar_java:S3985,sonar_java:S1149,sonar_java:S1948,sonar_java:S1121,sonar_java:S2160,sonar_java:S1135,sonar_java:S1117,sonar_java:S1854,sonar_java:S110,sonar_java:S3776,sonar_java:S1118,sonar_java:S5411,sonar_java:S2147,sonar_java:S3457,sonar_java:S2139,sonar_java:S1181,sonar_java:S1133,sonar_java:S107,sonar_java:S1481,sonar_java:S125,sonar_java:S108,sonar_java:S2387,sonar_java:S2065,sonar_java:S100,sonar_java:S3416,sonar_java:S1604,sonar_java:S1452,sonar_java:S6548,sonar_java:S2638,sonar_java:S4968,sonar_java:S1612,sonar_java:S2388,sonar_java:S3398,sonar_java:S1874,sonar_java:S1192,sonar_java:S1845,sonar_java:S4032,sonar_java:S1185,sonar_java:S127,sonar_java:S5803,sonar_java:S1488,sonar_java:S6213,sonar_java:S3252,sonar_java:S4144,sonar_java:S4449,sonar_java:S119,sonar_java:S1319,sonar_java:S3038,sonar_java:S3358,sonar_java:S112,sonar_java:S6541,sonar_java:S2176,sonar_java:S1119,sonar_java:S3011,sonar_java:S1186,sonar_java:S4042,sonar_java:S2864,sonar_java:S3878,sonar_java:S2629,sonar_java:S2093,sonar_java:S1113,sonar_java:S2094,sonar_java:S2178,sonar_java:S1126,sonar_java:S2234,sonar_java:S1155,sonar_java:S1172,sonar_java:S1215,sonar_java:S2274,sonar_java:S3824,sonar_java:S1066,sonar_java:S1210,sonar_java:S1659,sonar_java:S1191,sonar_java:S135,sonar_java:S3973,sonar_java:S3012,sonar_java:S1141,sonar_java:S2438,sonar_java:S4719,sonar_java:S101,sonar_java:S1700,sonar_java:S115,sonar_java:S2326,sonar_java:S1144,sonar_java:S3626,sonar_java:S1197,sonar_java:S4065,sonar_java:S4929,sonar_java:S3516,sonar_java:S5993,sonar_java:S2129,sonar_java:S106,sonar_java:S1068,sonar_java:S1130,sonar_java:S5413,sonar_java:S1940,sonar_java:S1450,sonar_java:S2133,sonar_java:S1301,sonar_java:S2062,sonar_java:S1165,sonar_java:S3400,sonar_java:S1163
/guava/src/com/google/common/base/Absent.java,68,4,2,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/guava/src/com/google/common/graph/AbstractBaseGraph.java,137,12,6,1,5,1,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/guava/src/com/google/common/collect/AbstractBiMap.java,377,34,21,5,8,1,19,9,5,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/guava-testlib/src/com/google/common/collect/testing/google/AbstractBiMapTester.java,59,4,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/guava/src/com/google/common/hash/AbstractByteHasher.java,92,7,0,1,6,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/guava/src/com/google/common/cache/AbstractCache.java,136,27,5,2,20,1,5,19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/guava/src/com/google/common/util/concurrent/AbstractCatchingFuture.java,187,14,6,3,5,1,6,6,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/guava-testlib/src/com/google/common/collect/testing/AbstractCollectionTester.java,41,9,4,1,4,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/guava-testlib/src/com/google/common/collect/testing/AbstractCollectionTestSuiteBuilder.java,55,3,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/guava/src/com/google/common/hash/AbstractCompositeHashFunction.java,147,6,2,2,2,1,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
