class,smell,description
\android\guava-testlib\src\com\google\common\collect\testing\AbstractIteratorTester.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\collect\testing\DerivedCollectionGenerators.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\collect\testing\FeatureSpecificTestSuiteBuilder.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\collect\testing\Helpers.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\collect\testing\google\DerivedGoogleCollectionGenerators.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\collect\testing\google\MapGenerators.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\collect\testing\google\MultimapTestSuiteBuilder.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\collect\testing\google\MultisetNavigationTester.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\collect\testing\google\MultisetTestSuiteBuilder.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\testing\ClassSanityTester.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\testing\FreshValueGenerator.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\testing\NullPointerTester.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\src\com\google\common\util\concurrent\testing\SameThreadScheduledExecutorService.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-testlib\test\com\google\common\testing\anotherpackage\ForwardingWrapperTesterTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\benchmark\com\google\common\collect\ConcurrentHashMultisetBenchmark.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\benchmark\com\google\common\util\concurrent\ExecutionListBenchmark.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\base\FunctionsTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\cache\CacheBuilderTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\cache\CacheLoadingTest.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\cache\CacheTesting.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\cache\LocalCacheTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\AbstractImmutableSetTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\BenchmarkHelpers.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\FluentIterableTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\ForwardingMapTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\ForwardingNavigableMapTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\ImmutableMapTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\ImmutableRangeSetTest.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\ImmutableSetTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\ImmutableSortedSetTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\IterablesTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\IteratorsTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\LinkedListMultimapTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\ListsImplTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\ListsTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\MapsCollectionTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\MapsTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\MinMaxPriorityQueueTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\MultimapsCollectionTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\MultimapsTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\OrderingTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\SetsTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\TableCollectionTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\collect\TreeMultimapNaturalTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\reflect\ImmutableTypeToInstanceMapTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\reflect\InvokableTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\reflect\TypeTokenResolutionTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\reflect\TypeTokenSubtypeTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\reflect\TypeTokenTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\util\concurrent\AbstractClosingFutureTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\util\concurrent\AbstractFutureTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\util\concurrent\AbstractScheduledServiceTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\util\concurrent\ExecutionSequencerTest.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\util\concurrent\FuturesTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\util\concurrent\JSR166TestCase.java:16:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\util\concurrent\MoreExecutorsTest.java:29:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\util\concurrent\WrappingExecutorServiceTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava-tests\test\com\google\common\util\concurrent\WrappingScheduledExecutorServiceTest.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\base\Functions.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\base\Predicates.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\base\Suppliers.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\cache\CacheBuilder.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\cache\LocalCache.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\AbstractBiMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\AbstractMapBasedMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ArrayTable.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\CollectCollectors.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Collections2.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ConcurrentHashMultiset.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\DenseImmutableTable.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\FilteredEntryMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\FluentIterable.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\HashBiMap.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableBiMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableList.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableListMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableMultiset.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableRangeMap.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableRangeSet.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableSet.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableSetMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableSortedMap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableSortedMultiset.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableSortedSet.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\ImmutableTable.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Iterables.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Iterators.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\LinkedHashMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\LinkedListMultimap.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Lists.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\MapMakerInternalMap.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Maps.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\MultimapBuilder.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Multimaps.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Multisets.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Ordering.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Queues.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Range.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\RegularImmutableTable.java:15:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
\android\guava\src\com\google\common\collect\Serialization.java:17:,CouplingBetweenObjects:,High amount of different objects as members denotes a high coupling
