class,smell,description
/guava/src/com/google/common/collect/Iterators.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/MutableClassToInstanceMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/EnumBiMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/EnumBiMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/EnumBiMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/EnumBiMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/EnumHashBiMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/EnumHashBiMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/EnumHashBiMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/EnumHashBiMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava-testlib/src/com/google/common/collect/testing/Helpers.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/MapMakerInternalMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/RegularImmutableMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ConcurrentHashMultiset.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/TreeRangeSet.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/Futures.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/Futures.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/RegularImmutableMultiset.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/RegularImmutableSet.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/ImmediateFuture.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/MoreExecutors.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/MoreExecutors.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/MoreExecutors.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/reflect/ClassPath.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/Sets.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/ClosingFuture.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/ImmutableGraph.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/UndirectedGraphConnections.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/UndirectedGraphConnections.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/DirectedGraphConnections.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/TreeRangeMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/TreeRangeMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/TreeRangeMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/io/ByteStreams.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/RegularImmutableMultiset.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ImmutableSet.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/RegularImmutableMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/AbstractMapBasedMultimap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/LinkedListMultimap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/Multimaps.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/base/Optional.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/ImmutableGraph.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/HashBasedTable.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/HashBasedTable.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/HashBasedTable.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/Futures.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/FluentFuture.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ImmutableSortedMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ImmutableSortedMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ImmutableSortedMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/Comparators.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/base/Suppliers.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/base/Suppliers.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/ImmutableNetwork.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/ImmutableValueGraph.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/StandardValueGraph.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/StandardValueGraph.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/EndpointPairIterator.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/EndpointPairIterator.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/StandardNetwork.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/StandardNetwork.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/MapRetrievalCache.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/DirectedMultiNetworkConnections.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/DirectedMultiNetworkConnections.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/graph/UndirectedMultiNetworkConnections.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava-testlib/src/com/google/common/collect/testing/AbstractContainerTester.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava-testlib/src/com/google/common/collect/testing/MapTestSuiteBuilder.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/TreeRangeSet.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/Maps.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/MinMaxPriorityQueue.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/Synchronized.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/Synchronized.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/TreeBasedTable.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/TreeBasedTable.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/FuturesGetChecked.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava-testlib/src/com/google/common/collect/testing/NavigableMapTestSuiteBuilder.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava-testlib/src/com/google/common/collect/testing/NavigableMapTestSuiteBuilder.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ImmutableSortedMultiset.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ImmutableList.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/RegularImmutableSortedSet.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/RegularImmutableSortedSet.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/RegularImmutableBiMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/Futures.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/Futures.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ImmutableSetMultimap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ImmutableSetMultimap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/LinkedHashMultiset.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/RegularImmutableTable.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/RegularImmutableTable.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ImmutableSortedMap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/base/Enums.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/Striped.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/util/concurrent/Striped.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/MultimapBuilder.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/Sets.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ArrayTable.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/ArrayTable.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/SparseImmutableTable.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/SparseImmutableTable.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/Multimaps.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/LinkedListMultimap.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
/guava/src/com/google/common/collect/TreeRangeSet.java,java:S2293,"Replace the type specification in this constructor call with the diamond operator (""<>"")."
