,cor,p,ratio
pmd_CyclomaticComplexity:,2.6683551297301102,0.009348152144238075,4.410000000000004
pmd_CouplingBetweenObjects:,3.5987283571196804,0.050314925101413284,4.410000000000004
pmd_GodClass:,3.9264637296546825,0.18841493963463374,5.760000000000006
pmd_MutableStaticState:,1.4557498760402723,0.7424183169757423,6.760000000000008
pmd_CognitiveComplexity:,2.8075436306617174,0.032285984718509284,4.410000000000004
pmd_MethodReturnsInternalArray:,2.8763855636492526,0.5612936269017441,6.760000000000008
pmd_ExcessiveImports:,4.121252015142027,0.16741517771315162,5.290000000000005
pmd_LooseCoupling:,1.1156289651803455,0.0005251640541063462,4.840000000000004
pmd_NPathComplexity:,3.983269752245236,0.1469031208742044,5.290000000000005
pmd_AvoidDuplicateLiterals:,3.3182987001929654,0.15505373525002825,5.290000000000005
pmd_AvoidDeeplyNestedIfStmts:,2.1928910837766864,0.5064132587116961,6.760000000000008
pmd_DataClass:,2.708050201105222,0.6357674443159298,6.760000000000008
pmd_LawOfDemeter:,0.6746505068252835,0.0006151414222480968,4.840000000000004
pmd_NcssCount:,4.8121844226712085,0.626925276438355,6.760000000000008
