Class,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments
/core/src/com/google/inject/AbstractModule.java,27,0,1,26,1,0,25,1
/core/src/com/google/inject/binder/AnnotatedBindingBuilder.java,4,0,1,3,1,0,2,1
/core/src/com/google/inject/binder/AnnotatedConstantBindingBuilder.java,4,0,1,3,1,0,2,1
/core/src/com/google/inject/binder/AnnotatedElementBuilder.java,4,0,1,3,1,0,2,1
/core/src/com/google/inject/binder/ConstantBindingBuilder.java,13,0,1,12,1,0,11,1
/core/src/com/google/inject/binder/LinkedBindingBuilder.java,13,0,1,12,1,0,11,1
/core/src/com/google/inject/binder/package-info.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/binder/ScopedBindingBuilder.java,5,0,1,4,1,0,3,1
/core/src/com/google/inject/Binder.java,32,0,1,31,1,0,30,1
/core/src/com/google/inject/Binding.java,6,0,1,5,1,0,4,1
/core/src/com/google/inject/BindingAnnotation.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/ConfigurationException.java,7,1,1,5,1,1,4,1
/core/src/com/google/inject/CreationException.java,4,0,1,3,1,0,2,1
/core/src/com/google/inject/Exposed.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/Guice.java,6,0,1,5,1,0,4,1
/core/src/com/google/inject/ImplementedBy.java,3,0,1,2,1,1,0,1
/core/src/com/google/inject/Inject.java,3,0,1,2,1,1,0,1
/core/src/com/google/inject/Injector.java,22,0,1,21,1,0,20,1
/core/src/com/google/inject/internal/AbstractBindingBuilder.java,9,1,1,7,1,1,6,1
/core/src/com/google/inject/internal/AbstractBindingProcessor.java,15,9,1,5,1,6,5,3
/core/src/com/google/inject/internal/AbstractProcessor.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/Annotations.java,30,6,1,23,1,4,22,3
/core/src/com/google/inject/internal/aop/AbstractGlueGenerator.java,19,7,1,11,1,7,10,1
/core/src/com/google/inject/internal/aop/AnonymousClassDefiner.java,3,1,1,1,1,1,0,1
/core/src/com/google/inject/internal/aop/BytecodeTasks.java,9,1,1,7,1,1,6,1
/core/src/com/google/inject/internal/aop/ChildClassDefiner.java,8,3,1,4,1,1,5,1
/core/src/com/google/inject/internal/aop/ClassBuilding.java,45,25,1,19,1,25,18,1
/core/src/com/google/inject/internal/aop/ClassDefiner.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/aop/ClassDefining.java,12,5,1,6,1,4,6,1
/core/src/com/google/inject/internal/aop/Enhancer.java,21,14,1,6,1,13,6,1
/core/src/com/google/inject/internal/aop/EnhancerBuilderImpl.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/aop/FastClass.java,13,10,1,2,1,10,1,1
/core/src/com/google/inject/internal/aop/GeneratedClassDefiner.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/aop/GlueException.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/aop/HiddenClassDefiner.java,4,1,1,2,1,1,1,1
/core/src/com/google/inject/internal/aop/ImmutableStringTrie.java,33,20,1,12,1,20,11,1
/core/src/com/google/inject/internal/aop/MethodPartition.java,32,24,1,7,1,24,6,1
/core/src/com/google/inject/internal/aop/UnsafeClassDefiner.java,13,5,1,7,1,3,8,1
/core/src/com/google/inject/internal/aop/UnsafeGetter.java,3,2,1,0,1,2,0,0
/core/src/com/google/inject/internal/BindingAlreadySetError.java,1,0,0,1,0,0,0,1
/core/src/com/google/inject/internal/BindingBuilder.java,4,2,1,1,1,2,0,1
/core/src/com/google/inject/internal/BindingImpl.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/BindingProcessor.java,16,11,3,2,1,14,0,1
/core/src/com/google/inject/internal/BoundProviderFactory.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/BytecodeGen.java,16,1,1,14,1,1,13,1
/core/src/com/google/inject/internal/ChildBindingAlreadySetError.java,6,3,1,2,0,4,1,1
/core/src/com/google/inject/internal/ConstantBindingBuilderImpl.java,4,2,1,1,1,2,0,1
/core/src/com/google/inject/internal/ConstantFactory.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/ConstructionContext.java,6,4,1,1,1,4,0,1
/core/src/com/google/inject/internal/ConstructionProxy.java,6,0,1,5,1,0,4,1
/core/src/com/google/inject/internal/ConstructionProxyFactory.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/ConstructorBindingImpl.java,15,10,1,4,1,10,4,0
/core/src/com/google/inject/internal/ConstructorInjector.java,10,6,1,3,1,6,2,1
/core/src/com/google/inject/internal/ConstructorInjectorStore.java,6,1,1,4,1,1,3,1
/core/src/com/google/inject/internal/CreationListener.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/CycleDetectingLock.java,53,37,0,16,0,37,15,1
/core/src/com/google/inject/internal/DeclaredMembers.java,3,1,1,1,1,1,0,1
/core/src/com/google/inject/internal/DefaultConstructionProxyFactory.java,9,4,2,3,1,5,2,1
/core/src/com/google/inject/internal/DeferredLookups.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/DelayedInitialize.java,3,0,1,2,1,0,1,1
/core/src/com/google/inject/internal/DelegatingInvocationHandler.java,5,4,1,0,1,4,0,0
/core/src/com/google/inject/internal/DuplicateElementError.java,10,8,0,2,0,9,0,1
/core/src/com/google/inject/internal/DuplicateMapKeyError.java,2,0,0,2,0,1,0,1
/core/src/com/google/inject/internal/Element.java,2,0,1,1,1,0,0,1
/core/src/com/google/inject/internal/EncounterImpl.java,6,4,1,1,1,1,3,1
/core/src/com/google/inject/internal/ErrorFormatter.java,3,0,0,3,0,0,2,1
/core/src/com/google/inject/internal/ErrorHandler.java,4,0,1,3,1,0,2,1
/core/src/com/google/inject/internal/ErrorId.java,2,1,0,1,0,1,0,1
/core/src/com/google/inject/internal/Errors.java,20,7,3,10,1,2,15,2
/core/src/com/google/inject/internal/ErrorsException.java,4,2,1,1,1,0,0,3
/core/src/com/google/inject/internal/ExposedBindingImpl.java,3,2,1,0,1,0,0,2
/core/src/com/google/inject/internal/ExposedKeyFactory.java,6,4,1,1,1,4,0,1
/core/src/com/google/inject/internal/ExposureBuilder.java,2,0,1,1,1,0,0,1
