class,loc
/core/src/com/google/inject/internal/AbstractBindingBuilder.java,87
/core/src/com/google/inject/internal/AbstractBindingProcessor.java,115
/core/src/com/google/inject/internal/aop/AbstractGlueGenerator.java,116
/extensions/grapher/src/com/google/inject/grapher/AbstractInjectorGrapher.java,156
/core/src/com/google/inject/matcher/AbstractMatcher.java,12
/core/src/com/google/inject/AbstractModule.java,106
/core/src/com/google/inject/internal/AbstractProcessor.java,34
/extensions/servlet/src/com/google/inject/servlet/AbstractServletModuleBinding.java,32
/extensions/grapher/src/com/google/inject/grapher/Alias.java,15
/extensions/grapher/src/com/google/inject/grapher/AliasCreator.java,5
/core/src/com/google/inject/binder/AnnotatedBindingBuilder.java,6
/core/src/com/google/inject/binder/AnnotatedConstantBindingBuilder.java,6
/core/src/com/google/inject/binder/AnnotatedElementBuilder.java,6
/core/src/com/google/inject/internal/Annotations.java,328
/extensions/dagger-adapter/src/com/google/inject/daggeradapter/Annotations.java,24
/core/src/com/google/inject/internal/aop/AnonymousClassDefiner.java,20
/extensions/grapher/src/com/google/inject/grapher/graphviz/ArrowType.java,25
/extensions/assistedinject/src/com/google/inject/assistedinject/Assisted.java,14
/extensions/assistedinject/src/com/google/inject/assistedinject/AssistedConstructor.java,57
/extensions/assistedinject/src/com/google/inject/assistedinject/AssistedInject.java,11
/extensions/assistedinject/src/com/google/inject/assistedinject/AssistedInjectBinding.java,7
/extensions/assistedinject/src/com/google/inject/assistedinject/AssistedInjectTargetVisitor.java,5
/extensions/assistedinject/src/com/google/inject/assistedinject/AssistedMethod.java,12
/extensions/testlib/src/com/google/inject/testing/fieldbinder/Bind.java,13
/core/src/com/google/inject/Binder.java,49
/core/src/com/google/inject/Binding.java,10
/core/src/com/google/inject/internal/BindingAlreadySetError.java,45
/core/src/com/google/inject/BindingAnnotation.java,8
/core/src/com/google/inject/internal/BindingBuilder.java,153
/extensions/assistedinject/src/com/google/inject/assistedinject/BindingCollector.java,31
/extensions/grapher/src/com/google/inject/grapher/BindingEdge.java,37
/core/src/com/google/inject/internal/BindingImpl.java,87
/core/src/com/google/inject/internal/BindingProcessor.java,220
/core/src/com/google/inject/spi/BindingScopingVisitor.java,9
/core/src/com/google/inject/spi/BindingSourceRestriction.java,240
/core/src/com/google/inject/spi/BindingTargetVisitor.java,12
/extensions/testlib/src/com/google/inject/testing/fieldbinder/BoundFieldModule.java,323
/core/src/com/google/inject/internal/BoundProviderFactory.java,57
/core/src/com/google/inject/internal/BytecodeGen.java,77
/core/src/com/google/inject/internal/aop/BytecodeTasks.java,160
/core/src/com/google/inject/internal/util/CallerFinder.java,5
/extensions/throwingproviders/src/com/google/inject/throwingproviders/CheckedProvider.java,4
/extensions/throwingproviders/src/com/google/inject/throwingproviders/CheckedProviderMethod.java,103
