class,smell,description
/core/src/com/google/inject/internal/MissingImplementationError.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/matcher/Matchers.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/matcher/Matchers.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/matcher/Matchers.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/matcher/Matchers.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/MoreTypes.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/ChildBindingAlreadySetError.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/ChildBindingAlreadySetError.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/DuplicateElementError.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/DuplicateMapKeyError.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/DuplicateMapKeyError.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/MissingImplementationError.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/MissingConstructorError.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/BindingAlreadySetError.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/BindingAlreadySetError.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/spi/ErrorDetail.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/ConfigurationException.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/Errors.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/MoreTypes.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/MoreTypes.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/MoreTypes.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/MoreTypes.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/internal/MoreTypes.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/matcher/Matchers.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/matcher/Matchers.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/matcher/Matchers.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
/core/src/com/google/inject/matcher/Matchers.java,java:S1948,"Make ""suggestionsSupplier"" transient or serializable."
