,cor,p,ratio
sonar_java:S1700,2.3647798068575034,0.3248691281410173,10.890000000000013
sonar_java:S5993,2.5523662759552073,0.01620264182068125,10.890000000000013
sonar_java:S1659,3.562048254078781,0.13799726365382178,10.890000000000013
sonar_java:S106,1.1041992980367539,6.541830120496986e-15,10.890000000000013
sonar_java:S1301,4.503667525050536,0.1313675783675722,10.890000000000013
sonar_java:S1192,2.4475279944011303,2.9272305090920733e-36,9.00000000000001
sonar_java:S1155,2.9592922687825856,2.47396200499872e-09,10.240000000000013
sonar_java:S1488,3.4920885455273782,4.1394798410355414e-07,10.240000000000013
sonar_java:S6548,2.0065347710027712,0.4178449990504265,10.890000000000013
sonar_java:S1118,2.174664210365072,0.2004817861665006,10.890000000000013
sonar_java:S3398,3.937883643608659,2.322289290792628e-06,10.240000000000013
sonar_java:S1121,5.40567588491891,0.344288183576143,10.890000000000013
sonar_java:S3516,2.1972245807554818,0.8244569759577236,10.890000000000013
sonar_java:S3457,2.314457045141356,4.8946215709751047e-60,9.00000000000001
sonar_java:S1130,3.0772434138374036,4.9069630928847864e-27,10.240000000000013
sonar_java:S2293,2.718052985480732,2.3230224229144395e-16,10.240000000000013
sonar_java:S3824,3.4825190143886466,0.00017284837228645928,10.890000000000013
sonar_java:S108,3.18952277362746,0.01119123411360438,10.890000000000013
sonar_java:S127,4.177681070554255,0.025555522304202487,10.890000000000013
sonar_java:S1181,3.69424954884865,0.00016421223241710583,10.240000000000013
sonar_java:S1874,3.528931731013856,1.6224613255199998e-06,10.240000000000013
sonar_java:S3776,2.7772371365056454,1.4927920535929094e-34,7.840000000000009
sonar_java:S1141,4.017015930259619,0.0001293209965846508,10.240000000000013
sonar_java:S112,2.4611307924691213,9.962110904460694e-23,10.240000000000013
sonar_java:S1604,3.4298115706848207,0.01639753521006107,10.890000000000013
sonar_java:S1133,2.523838036228731,4.4108925151451024e-20,10.240000000000013
sonar_java:S4719,2.5772586842395757,0.13480993088560045,10.890000000000013
sonar_java:S4968,1.609437912812668,0.8709878204744939,10.890000000000013
sonar_java:S1186,1.875218558697269,4.3620664285623143e-38,10.890000000000013
sonar_java:S1854,2.871679624884401,0.6154785788483716,10.890000000000013
sonar_java:S1172,3.4338270885049447,0.00019974980650117646,10.890000000000013
sonar_java:S2147,3.5066653611764833,0.0023115367910021257,10.890000000000013
sonar_java:S1135,3.0658214055560915,2.3561531203873523e-14,10.240000000000013
sonar_java:S3011,1.7373031389424796,0.18913819535424892,10.890000000000013
sonar_java:S1117,3.293386261902339,0.049071734210790044,10.890000000000013
sonar_java:S107,2.845019435184262,4.827873979792675e-05,10.890000000000013
sonar_java:S1948,2.044690992186433,0.5848887990243224,10.890000000000013
sonar_java:S1165,1.2039728878699048,0.833418612888808,10.890000000000013
sonar_java:S2160,2.105969918717715,0.34160278586169146,10.890000000000013
sonar_java:S135,3.879646248108643,4.156535518665273e-06,10.240000000000013
sonar_java:S6541,4.23009510483036,0.003757498377382848,10.240000000000013
sonar_java:S1452,3.4977619511167126,0.0456708351170786,10.890000000000013
sonar_java:S125,3.690649199679866,2.413291825889018e-06,10.240000000000013
sonar_java:S1905,3.595719760892589,0.031665301107774046,10.890000000000013
sonar_java:S3626,3.6258361229166916,0.022190508902022135,10.890000000000013
