,cor,p,ratio
pmd_CyclomaticComplexity:,1.9082158172501629,5.744388909063468e-102,5.290000000000005
pmd_CouplingBetweenObjects:,4.096221490182904,6.352455639814539e-25,5.760000000000006
pmd_GodClass:,4.043276542625367,1.2468548116165016e-23,6.250000000000006
pmd_MutableStaticState:,2.8641064226064747,7.385029170019936e-26,10.240000000000013
pmd_CognitiveComplexity:,2.367850919032343,1.1338494366909907e-63,6.250000000000006
pmd_MethodReturnsInternalArray:,2.6654484875742357,6.181319664084988e-11,10.240000000000013
pmd_ExcessiveImports:,4.082009848572718,3.6350157100620576e-24,6.250000000000006
pmd_LooseCoupling:,1.7592656749182574,9.966216514458265e-116,7.840000000000009
pmd_NPathComplexity:,2.937625254367224,2.334694833953987e-39,7.290000000000008
pmd_AvoidDuplicateLiterals:,2.528652268043115,4.685681622211301e-83,8.410000000000009
pmd_AvoidDeeplyNestedIfStmts:,2.9874095057736314,7.774744252656521e-08,10.240000000000013
pmd_DataClass:,2.70936203667765,1.1559956829150272e-11,10.240000000000013
pmd_LawOfDemeter:,0.8699765255755325,0.0,6.760000000000008
pmd_NcssCount:,3.6988355563243687,5.951838436101828e-18,9.00000000000001
