class,loc,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments,pmd_LawOfDemeter:,pmd_CyclomaticComplexity:,pmd_DataClass:,pmd_ExcessiveImports:,pmd_CouplingBetweenObjects:,pmd_GodClass:,pmd_AvoidDuplicateLiterals:,pmd_CognitiveComplexity:,pmd_NPathComplexity:,pmd_MethodReturnsInternalArray:,pmd_NcssCount:,pmd_LooseCoupling:,pmd_MutableStaticState:,pmd_AvoidDeeplyNestedIfStmts:,pmd_ExcessiveParameterList:,pmd_CheckSkipResult:,pmd_-,sonar_java:S3776,sonar_java:S1874,sonar_java:S1192,sonar_java:S1172,sonar_java:S125,sonar_java:S3740,sonar_java:S5803,sonar_java:S1068,sonar_java:S6539,sonar_java:S1319,sonar_java:S1214,sonar_java:S1066,sonar_java:S1168,sonar_java:S112,sonar_java:S6548,sonar_java:S1186,sonar_java:S5411,sonar_java:S1659,sonar_java:S107,sonar_java:S1155,sonar_java:S106,sonar_java:S2629,sonar_java:S3457,sonar_java:S3038,sonar_java:S1118,sonar_java:S1488,sonar_java:S1124,sonar_java:S1130,sonar_java:S2147,sonar_java:S3878,sonar_java:S1163,sonar_java:S1612,sonar_java:S135,sonar_java:S1133,sonar_java:S1123,sonar_java:S4276,sonar_java:S6244,sonar_java:S110,sonar_java:S1126,sonar_java:S1871,sonar_java:S5993,sonar_java:S2093,sonar_java:S1161,sonar_java:S4719,sonar_java:S4144,sonar_java:S4201,sonar_java:S3252,sonar_java:S108,sonar_java:S1144,sonar_java:S3398,sonar_java:S119,sonar_java:S1110,sonar_java:S3824,sonar_java:S1452,sonar_java:S1181,sonar_java:S3985,sonar_java:S1116,sonar_java:S1149,sonar_java:S1845,sonar_java:S2387,sonar_java:S6213,sonar_java:S115,sonar_java:S2293,sonar_java:S2209,sonar_java:S1141,sonar_java:S1450,sonar_java:S1135,sonar_java:S2139,sonar_java:S1700,sonar_java:S1602,sonar_java:S3416,sonar_java:S1301,sonar_java:S1940,sonar_java:S1170,sonar_java:S3358,sonar_java:S6541,sonar_java:S1611,sonar_java:S2589,sonar_java:S4042,sonar_java:S3626,sonar_java:S1905,sonar_java:S5361,sonar_java:S2386,sonar_java:S2696,sonar_java:S3008,sonar_java:S1479,sonar_java:S3012,sonar_java:S1185,sonar_java:S1075,sonar_java:S1117,sonar_java:S1171,sonar_java:S120,sonar_java:S1128,sonar_java:S1854,sonar_java:S1104,sonar_java:S100,sonar_java:S1640,sonar_java:S1125,sonar_java:S5738,sonar_java:S4274,sonar_java:S2326,sonar_java:S1113,sonar_java:S2160,sonar_java:S6353,sonar_java:S2388,sonar_java:S1604,sonar_java:S1165,sonar_java:S1948,sonar_java:S4968,sonar_java:S116,sonar_java:S2094,sonar_java:S1153,sonar_java:S127,sonar_java:S5869,sonar_java:S2178,sonar_java:S4165,sonar_java:S1444,sonar_java:S2129,sonar_java:S1134,sonar_java:S3011,sonar_java:S2975,sonar_java:S1182,sonar_java:S1121,sonar_java:S1264,sonar_java:S4065,sonar_java:S3010,sonar_java:S1596,sonar_java:S4977,sonar_java:S3014,sonar_java:S117,sonar_java:S4929,sonar_java:S4349,sonar_java:S5843,sonar_java:S2065,sonar_java:S6019,sonar_java:S6035,sonar_java:S1193,sonar_java:S1119,sonar_java:S1858,sonar_java:S128,sonar_java:S5857,sonar_java:S1481,sonar_java:S3516,sonar_java:S4034,sonar_java:S1643,sonar_java:S2274,sonar_java:S1150
/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/Abfs.java,24,3,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/services/AbfsAclHelper.java,218,7,5,0,2,1,5,0,1,0,4,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/services/AbfsClient.java,1155,89,70,1,18,1,66,17,5,5,4,0,1,1,1,0,3,3,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/services/AbfsClientContext.java,23,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/services/AbfsClientContextBuilder.java,24,4,1,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/services/AbfsClientRenameResult.java,34,6,0,0,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/services/AbfsClientThrottlingAnalyzer.java,209,27,19,0,8,1,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/services/AbfsClientThrottlingIntercept.java,126,19,9,1,9,1,7,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/AbfsConfiguration.java,857,33,12,0,21,1,12,19,1,0,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/services/AbfsCounters.java,20,6,0,0,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
