class,loc
/storage/src/main/java/org/apache/kafka/storage/internals/log/AbortedTxn.java,81
/clients/src/main/java/org/apache/kafka/clients/admin/internals/AbortTransactionHandler.java,142
/clients/src/main/java/org/apache/kafka/clients/admin/AbortTransactionOptions.java,11
/clients/src/main/java/org/apache/kafka/clients/admin/AbortTransactionResult.java,15
/clients/src/main/java/org/apache/kafka/clients/admin/AbortTransactionSpec.java,57
/server-common/src/main/java/org/apache/kafka/server/common/serialization/AbstractApiMessageSerde.java,72
/clients/src/main/java/org/apache/kafka/common/config/AbstractConfig.java,419
/streams/src/main/java/org/apache/kafka/streams/kstream/internals/AbstractConfigurableStoreFactory.java,32
/connect/runtime/src/main/java/org/apache/kafka/connect/cli/AbstractConnectCli.java,82
/connect/runtime/src/main/java/org/apache/kafka/connect/connector/policy/AbstractConnectorClientConfigOverridePolicy.java,36
/clients/src/main/java/org/apache/kafka/common/requests/AbstractControlRequest.java,58
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/AbstractCoordinator.java,1167
/streams/src/main/java/org/apache/kafka/streams/state/internals/AbstractDualSchemaRocksDBSegmentedBytesStore.java,258
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/AbstractFetch.java,300
/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/AbstractHerder.java,802
/storage/src/main/java/org/apache/kafka/storage/internals/log/AbstractIndex.java,305
/clients/src/main/java/org/apache/kafka/common/utils/AbstractIterator.java,56
/streams/src/main/java/org/apache/kafka/streams/kstream/internals/AbstractKStreamTimeWindowAggregateProcessor.java,179
/clients/src/main/java/org/apache/kafka/common/record/AbstractLegacyRecordBatch.java,463
/clients/src/main/java/org/apache/kafka/common/security/authenticator/AbstractLogin.java,74
/streams/src/main/java/org/apache/kafka/streams/state/internals/AbstractMergedSortedCacheStoreIterator.java,135
/clients/src/main/java/org/apache/kafka/clients/admin/AbstractOptions.java,12
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/AbstractPartitionAssignor.java,125
/streams/src/main/java/org/apache/kafka/streams/processor/internals/AbstractPartitionGroup.java,33
/streams/src/main/java/org/apache/kafka/streams/processor/AbstractProcessor.java,16
/streams/src/main/java/org/apache/kafka/streams/processor/internals/AbstractProcessorContext.java,207
/streams/src/main/java/org/apache/kafka/streams/query/internals/AbstractQueryResult.java,29
/streams/src/main/java/org/apache/kafka/streams/processor/internals/AbstractReadOnlyDecorator.java,261
/streams/src/main/java/org/apache/kafka/streams/processor/internals/AbstractReadWriteDecorator.java,261
/clients/src/main/java/org/apache/kafka/common/record/AbstractRecordBatch.java,15
/clients/src/main/java/org/apache/kafka/common/record/AbstractRecords.java,104
/clients/src/main/java/org/apache/kafka/common/requests/AbstractRequest.java,257
/clients/src/main/java/org/apache/kafka/common/requests/AbstractRequestResponse.java,5
/clients/src/main/java/org/apache/kafka/common/requests/AbstractResponse.java,234
/streams/src/main/java/org/apache/kafka/streams/state/internals/AbstractRocksDBSegmentedBytesStore.java,338
/streams/src/main/java/org/apache/kafka/streams/state/internals/AbstractRocksDBTimeOrderedSegmentedBytesStore.java,200
/streams/src/main/java/org/apache/kafka/streams/state/internals/AbstractSegments.java,189
/connect/api/src/main/java/org/apache/kafka/connect/health/AbstractState.java,43
/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/AbstractStatus.java,73
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/AbstractStickyAssignor.java,1003
/streams/src/main/java/org/apache/kafka/streams/state/internals/AbstractStoreBuilder.java,63
/streams/src/main/java/org/apache/kafka/streams/kstream/internals/AbstractStream.java,111
/streams/src/main/java/org/apache/kafka/streams/processor/internals/AbstractTask.java,154
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/events/AbstractTopicMetadataEvent.java,10
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/assignor/AbstractUniformAssignmentBuilder.java,147
/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/AbstractWorkerSourceTask.java,485
/clients/src/main/java/org/apache/kafka/common/acl/AccessControlEntry.java,51
/clients/src/main/java/org/apache/kafka/common/acl/AccessControlEntryData.java,65
/clients/src/main/java/org/apache/kafka/common/acl/AccessControlEntryFilter.java,62
/clients/src/main/java/org/apache/kafka/common/security/oauthbearer/internals/secured/AccessTokenRetriever.java,8
/clients/src/main/java/org/apache/kafka/common/security/oauthbearer/internals/secured/AccessTokenRetrieverFactory.java,44
/clients/src/main/java/org/apache/kafka/common/security/oauthbearer/internals/secured/AccessTokenValidator.java,5
/clients/src/main/java/org/apache/kafka/common/security/oauthbearer/internals/secured/AccessTokenValidatorFactory.java,46
/clients/src/main/java/org/apache/kafka/common/acl/AclBinding.java,41
/clients/src/main/java/org/apache/kafka/common/acl/AclBindingFilter.java,51
/metadata/src/main/java/org/apache/kafka/metadata/authorizer/AclCache.java,64
/metadata/src/main/java/org/apache/kafka/controller/AclControlManager.java,192
/clients/src/main/java/org/apache/kafka/server/authorizer/AclCreateResult.java,18
/clients/src/main/java/org/apache/kafka/server/authorizer/AclDeleteResult.java,45
/server/src/main/java/org/apache/kafka/security/authorizer/AclEntry.java,148
/metadata/src/main/java/org/apache/kafka/metadata/migration/AclMigrationClient.java,18
/metadata/src/main/java/org/apache/kafka/metadata/authorizer/AclMutator.java,18
/clients/src/main/java/org/apache/kafka/common/acl/AclOperation.java,52
/clients/src/main/java/org/apache/kafka/common/acl/AclPermissionType.java,41
/metadata/src/main/java/org/apache/kafka/image/AclsDelta.java,71
/metadata/src/main/java/org/apache/kafka/image/AclsImage.java,43
/metadata/src/main/java/org/apache/kafka/image/node/AclsImageByIdNode.java,33
/metadata/src/main/java/org/apache/kafka/image/node/AclsImageNode.java,23
/clients/src/main/java/org/apache/kafka/server/authorizer/Action.java,68
/metadata/src/main/java/org/apache/kafka/controller/ActivationRecordsGenerator.java,179
/tools/src/main/java/org/apache/kafka/tools/reassign/ActiveMoveState.java,27
/streams/src/main/java/org/apache/kafka/streams/processor/internals/ActiveTaskCreator.java,286
/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/rest/entities/ActiveTopicsInfo.java,20
/streams/src/main/java/org/apache/kafka/streams/processor/internals/namedtopology/AddNamedTopologyResult.java,27
/clients/src/main/java/org/apache/kafka/common/requests/AddOffsetsToTxnRequest.java,42
/clients/src/main/java/org/apache/kafka/common/requests/AddOffsetsToTxnResponse.java,41
/clients/src/main/java/org/apache/kafka/common/requests/AddPartitionsToTxnRequest.java,155
/clients/src/main/java/org/apache/kafka/common/requests/AddPartitionsToTxnResponse.java,107
/clients/src/main/java/org/apache/kafka/clients/admin/Admin.java,273
/clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiDriver.java,354
/clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiFuture.java,62
/clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiHandler.java,99
/clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiLookupStrategy.java,51
/clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminBootstrapAddresses.java,82
/clients/src/main/java/org/apache/kafka/clients/admin/AdminClient.java,11
/clients/src/main/java/org/apache/kafka/clients/admin/AdminClientConfig.java,207
/server-common/src/main/java/org/apache/kafka/server/common/AdminCommandFailedException.java,9
/clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminMetadataManager.java,179
/server-common/src/main/java/org/apache/kafka/server/common/AdminOperationException.java,9
/server-common/src/main/java/org/apache/kafka/admin/AdminUtils.java,138
/trogdor/src/main/java/org/apache/kafka/trogdor/agent/Agent.java,186
/trogdor/src/main/java/org/apache/kafka/trogdor/agent/AgentClient.java,271
/trogdor/src/main/java/org/apache/kafka/trogdor/agent/AgentRestResource.java,71
/trogdor/src/main/java/org/apache/kafka/trogdor/rest/AgentStatusResponse.java,22
/trogdor/src/main/java/org/apache/kafka/trogdor/task/AgentWorkerStatusTracker.java,16
/streams/src/main/java/org/apache/kafka/streams/kstream/Aggregator.java,4
/clients/src/main/java/org/apache/kafka/clients/admin/internals/AllBrokersStrategy.java,153
/connect/runtime/src/main/java/org/apache/kafka/connect/connector/policy/AllConnectorClientConfigOverridePolicy.java,20
/clients/src/main/java/org/apache/kafka/common/requests/AllocateProducerIdsRequest.java,43
/clients/src/main/java/org/apache/kafka/common/requests/AllocateProducerIdsResponse.java,38
/clients/src/main/java/org/apache/kafka/common/config/internals/AllowedPaths.java,43
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/events/AllTopicsMetadataEvent.java,7
/connect/api/src/main/java/org/apache/kafka/connect/errors/AlreadyExistsException.java,12
/clients/src/main/java/org/apache/kafka/clients/admin/AlterClientQuotasOptions.java,14
/clients/src/main/java/org/apache/kafka/common/requests/AlterClientQuotasRequest.java,107
/clients/src/main/java/org/apache/kafka/common/requests/AlterClientQuotasResponse.java,85
/clients/src/main/java/org/apache/kafka/clients/admin/AlterClientQuotasResult.java,19
/clients/src/main/java/org/apache/kafka/clients/admin/AlterConfigOp.java,61
/clients/src/main/java/org/apache/kafka/server/policy/AlterConfigPolicy.java,39
/clients/src/main/java/org/apache/kafka/clients/admin/AlterConfigsOptions.java,18
/clients/src/main/java/org/apache/kafka/common/requests/AlterConfigsRequest.java,98
/clients/src/main/java/org/apache/kafka/common/requests/AlterConfigsResponse.java,47
/clients/src/main/java/org/apache/kafka/clients/admin/AlterConfigsResult.java,18
/clients/src/main/java/org/apache/kafka/clients/admin/internals/AlterConsumerGroupOffsetsHandler.java,160
/clients/src/main/java/org/apache/kafka/clients/admin/AlterConsumerGroupOffsetsOptions.java,6
/clients/src/main/java/org/apache/kafka/clients/admin/AlterConsumerGroupOffsetsResult.java,51
/clients/src/main/java/org/apache/kafka/clients/admin/AlterPartitionReassignmentsOptions.java,6
/clients/src/main/java/org/apache/kafka/common/requests/AlterPartitionReassignmentsRequest.java,65
/clients/src/main/java/org/apache/kafka/common/requests/AlterPartitionReassignmentsResponse.java,45
/clients/src/main/java/org/apache/kafka/clients/admin/AlterPartitionReassignmentsResult.java,18
/clients/src/main/java/org/apache/kafka/common/requests/AlterPartitionRequest.java,68
/clients/src/main/java/org/apache/kafka/common/requests/AlterPartitionResponse.java,39
/clients/src/main/java/org/apache/kafka/clients/admin/AlterReplicaLogDirsOptions.java,6
/clients/src/main/java/org/apache/kafka/common/requests/AlterReplicaLogDirsRequest.java,62
/clients/src/main/java/org/apache/kafka/common/requests/AlterReplicaLogDirsResponse.java,42
/clients/src/main/java/org/apache/kafka/clients/admin/AlterReplicaLogDirsResult.java,26
/clients/src/main/java/org/apache/kafka/clients/admin/AlterUserScramCredentialsOptions.java,6
/clients/src/main/java/org/apache/kafka/common/requests/AlterUserScramCredentialsRequest.java,57
/clients/src/main/java/org/apache/kafka/common/requests/AlterUserScramCredentialsResponse.java,37
/clients/src/main/java/org/apache/kafka/clients/admin/AlterUserScramCredentialsResult.java,20
/clients/src/main/java/org/apache/kafka/common/requests/ApiError.java,67
/clients/src/main/java/org/apache/kafka/common/errors/ApiException.java,21
/clients/src/main/java/org/apache/kafka/common/protocol/ApiKeys.java,265
/clients/src/main/java/org/apache/kafka/common/protocol/ApiMessage.java,4
/server-common/src/main/java/org/apache/kafka/server/common/ApiMessageAndVersion.java,33
/generator/src/main/java/org/apache/kafka/message/ApiMessageTypeGenerator.java,398
/clients/src/main/java/org/apache/kafka/clients/admin/internals/ApiRequestScope.java,7
/streams/src/main/java/org/apache/kafka/streams/internals/ApiUtils.java,50
/clients/src/main/java/org/apache/kafka/clients/ApiVersions.java,33
/clients/src/main/java/org/apache/kafka/common/requests/ApiVersionsRequest.java,75
/clients/src/main/java/org/apache/kafka/common/requests/ApiVersionsResponse.java,252
/storage/src/main/java/org/apache/kafka/storage/internals/log/AppendOrigin.java,7
/clients/src/main/java/org/apache/kafka/common/utils/AppInfoParser.java,116
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/events/ApplicationEvent.java,44
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/events/ApplicationEventHandler.java,67
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/events/ApplicationEventProcessor.java,234
/clients/src/main/java/org/apache/kafka/common/protocol/types/ArrayOf.java,92
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/consumer/Assignment.java,45
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/events/AssignmentChangeEvent.java,24
/streams/src/main/java/org/apache/kafka/streams/processor/internals/assignment/AssignmentInfo.java,417
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/assignor/AssignmentMemberSpec.java,66
/server-common/src/main/java/org/apache/kafka/metadata/AssignmentsHelper.java,80
/server/src/main/java/org/apache/kafka/server/AssignmentsManager.java,376
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/assignor/AssignmentSpec.java,30
/streams/src/main/java/org/apache/kafka/streams/processor/internals/assignment/AssignorConfiguration.java,275
/streams/src/main/java/org/apache/kafka/streams/processor/internals/assignment/AssignorError.java,15
/clients/src/main/java/org/apache/kafka/common/requests/AssignReplicasToDirsRequest.java,46
/clients/src/main/java/org/apache/kafka/common/requests/AssignReplicasToDirsResponse.java,35
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/AsyncClient.java,45
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/events/AsyncCommitEvent.java,9
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/AsyncKafkaConsumer.java,1446
/clients/src/main/java/org/apache/kafka/common/security/auth/AuthenticateCallbackHandler.java,9
/clients/src/main/java/org/apache/kafka/common/security/auth/AuthenticationContext.java,7
/clients/src/main/java/org/apache/kafka/common/errors/AuthenticationException.java,14
/clients/src/main/java/org/apache/kafka/common/network/Authenticator.java,32
/clients/src/main/java/org/apache/kafka/server/authorizer/AuthorizableRequestContext.java,16
/clients/src/main/java/org/apache/kafka/common/errors/AuthorizationException.java,9
/clients/src/main/java/org/apache/kafka/server/authorizer/AuthorizationResult.java,7
/clients/src/main/java/org/apache/kafka/server/authorizer/Authorizer.java,123
/jmh-benchmarks/src/main/java/org/apache/kafka/jmh/acl/AuthorizerBenchmark.java,218
/clients/src/main/java/org/apache/kafka/common/errors/AuthorizerNotReadyException.java,7
/clients/src/main/java/org/apache/kafka/server/authorizer/AuthorizerServerInfo.java,13
/server/src/main/java/org/apache/kafka/security/authorizer/AuthorizerUtils.java,53
/clients/src/main/java/org/apache/kafka/common/metrics/stats/Avg.java,22
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/events/BackgroundEvent.java,41
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/events/BackgroundEventHandler.java,19
/clients/src/main/java/org/apache/kafka/common/security/kerberos/BadFormatString.java,10
/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/rest/errors/BadRequestException.java,10
/streams/src/main/java/org/apache/kafka/streams/processor/internals/assignment/BalanceSubtopologyGraphConstructor.java,205
