class,smell,description
/tools/src/main/java/org/apache/kafka/tools/reassign/ReassignPartitionsCommand.java,java:S1602,Remove useless curly braces around statement
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/runtime/CoordinatorRuntime.java,java:S1602,Remove useless curly braces around statement
/clients/src/main/java/org/apache/kafka/clients/admin/internals/DescribeConsumerGroupsHandler.java,java:S1602,Remove useless curly braces around statement
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/OffsetMetadataManager.java,java:S1602,Remove useless curly braces around statement
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/OffsetMetadataManager.java,java:S1602,Remove useless curly braces around statement
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/OffsetMetadataManager.java,java:S1602,Remove useless curly braces around statement
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/OffsetMetadataManager.java,java:S1602,Remove useless curly braces around statement
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/OffsetMetadataManager.java,java:S1602,Remove useless curly braces around statement
/clients/src/main/java/org/apache/kafka/clients/consumer/internals/LegacyKafkaConsumer.java,java:S1602,Remove useless curly braces around statement
/metadata/src/main/java/org/apache/kafka/metadata/properties/MetaPropertiesEnsemble.java,java:S1602,Remove useless curly braces around statement
/clients/src/main/java/org/apache/kafka/common/requests/TxnOffsetCommitRequest.java,java:S1602,Remove useless curly braces around statement
/storage/src/main/java/org/apache/kafka/storage/internals/log/RemoteIndexCache.java,java:S1602,Remove useless curly braces around statement
/metadata/src/main/java/org/apache/kafka/controller/ClusterControlManager.java,java:S1602,Remove useless curly braces around statement
/metadata/src/main/java/org/apache/kafka/metadata/ControllerRegistration.java,java:S1602,Remove useless curly braces around statement
/tools/src/main/java/org/apache/kafka/tools/ConnectPluginPath.java,java:S1602,Remove useless curly braces around statement
/tools/src/main/java/org/apache/kafka/tools/ConnectPluginPath.java,java:S1602,Remove useless curly braces around statement
/metadata/src/main/java/org/apache/kafka/controller/QuorumController.java,java:S1602,Remove useless curly braces around statement
/clients/src/main/java/org/apache/kafka/common/requests/OffsetCommitRequest.java,java:S1602,Remove useless curly braces around statement
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/runtime/CoordinatorRuntime.java,java:S1602,Remove useless curly braces around statement
/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Worker.java,java:S1602,Remove useless curly braces around statement
/metadata/src/main/java/org/apache/kafka/metadata/migration/KRaftMigrationZkWriter.java,java:S1602,Remove useless curly braces around statement
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/GroupMetadataManager.java,java:S1602,Remove useless curly braces around statement
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/consumer/ConsumerGroup.java,java:S1602,Remove useless curly braces around statement
/group-coordinator/src/main/java/org/apache/kafka/coordinator/group/consumer/ConsumerGroup.java,java:S1602,Remove useless curly braces around statement
/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/Worker.java,java:S1602,Remove useless curly braces around statement
/metadata/src/main/java/org/apache/kafka/metadata/migration/KRaftMigrationZkWriter.java,java:S1602,Remove useless curly braces around statement
/clients/src/main/java/org/apache/kafka/common/requests/AlterPartitionRequest.java,java:S1602,Remove useless curly braces around statement
/clients/src/main/java/org/apache/kafka/common/requests/AlterPartitionRequest.java,java:S1602,Remove useless curly braces around statement
/clients/src/main/java/org/apache/kafka/clients/consumer/RangeAssignor.java,java:S1602,Remove useless curly braces around statement
/clients/src/main/java/org/apache/kafka/common/requests/OffsetDeleteResponse.java,java:S1602,Remove useless curly braces around statement
/clients/src/main/java/org/apache/kafka/common/requests/OffsetDeleteResponse.java,java:S1602,Remove useless curly braces around statement
/clients/src/main/java/org/apache/kafka/common/requests/TxnOffsetCommitResponse.java,java:S1602,Remove useless curly braces around statement
