,cor,p,ratio
pmd_CyclomaticComplexity:,2.35298067843525,0.002487345063511188,6.250000000000006
pmd_CouplingBetweenObjects:,3.8931799178537325,0.12778515226074647,7.290000000000008
pmd_GodClass:,4.097370287726985,0.16989092834020203,7.290000000000008
pmd_MutableStaticState:,1.7169936022776864,0.6238056917934955,7.840000000000009
pmd_CognitiveComplexity:,2.503933605515538,0.001200312210274768,6.250000000000006
pmd_MethodReturnsInternalArray:,2.113459448672477,0.3280284392913274,7.840000000000009
pmd_ExcessiveImports:,4.178226046234134,0.23262482727132883,7.290000000000008
pmd_LooseCoupling:,1.9811248549410654,0.003734238366263408,7.290000000000008
pmd_NPathComplexity:,3.4779708300193244,0.05433678078283986,7.290000000000008
pmd_AvoidDuplicateLiterals:,3.4342624218260394,0.165295199346278,7.840000000000009
pmd_AvoidDeeplyNestedIfStmts:,1.9924301647092024,0.7275828795521445,8.410000000000009
pmd_DataClass:,4.41279829340042,0.37270427680276763,7.840000000000009
pmd_LawOfDemeter:,0.7754685718743792,6.891008417436393e-13,6.760000000000008
pmd_NcssCount:,2.733461603372681,0.49888993798979486,7.840000000000009
