Class,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/ArrayWrappers.java,2,0,1,1,1,0,0,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/InMemoryStore.java,24,17,1,6,1,15,7,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/KVIndex.java,5,0,1,4,1,3,0,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/KVStore.java,11,0,1,10,1,0,9,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/KVStoreIterator.java,4,0,1,3,1,0,2,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/KVStoreSerializer.java,3,0,1,2,1,0,1,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/KVStoreView.java,10,0,1,9,1,0,8,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/KVTypeInfo.java,3,0,1,2,1,0,1,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/LevelDB.java,16,5,1,10,1,5,9,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/LevelDBIterator.java,13,11,1,1,1,11,1,0
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/LevelDBTypeInfo.java,31,18,1,12,1,18,11,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/RocksDB.java,21,5,2,14,1,6,13,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/RocksDBIterator.java,6,4,1,1,1,4,1,0
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/RocksDBTypeInfo.java,31,18,1,12,1,18,11,1
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/UnsupportedStoreVersionException.java,2,0,1,1,1,0,0,1
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/ArrayKeyIndexType.java,1,0,1,0,1,0,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/ArrayWrappersSuite.java,1,0,1,0,1,0,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/CustomType1.java,1,0,1,0,1,0,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/CustomType2.java,1,0,1,0,1,0,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/DBIteratorSuite.java,20,14,1,5,1,14,5,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/InMemoryIteratorSuite.java,1,0,1,0,1,0,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/InMemoryStoreSuite.java,2,1,1,0,1,1,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/IntKeyType.java,1,0,1,0,1,0,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/LevelDBBenchmark.java,5,3,1,1,1,3,0,1
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/LevelDBIteratorSuite.java,1,0,1,0,1,0,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/LevelDBSuite.java,34,33,1,0,1,33,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/LevelDBTypeInfoSuite.java,2,1,1,0,1,1,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/RocksDBBenchmark.java,5,3,1,1,1,3,0,1
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/RocksDBIteratorSuite.java,1,0,1,0,1,0,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/RocksDBSuite.java,35,34,1,0,1,34,0,0
/common/kvstore/src/test/java/org/apache/spark/util/kvstore/RocksDBTypeInfoSuite.java,2,1,1,0,1,1,0,0
/common/network-common/src/main/java/org/apache/spark/network/buffer/FileSegmentManagedBuffer.java,5,3,1,1,1,3,0,1
/common/network-common/src/main/java/org/apache/spark/network/buffer/ManagedBuffer.java,10,1,1,8,1,0,7,2
/common/network-common/src/main/java/org/apache/spark/network/buffer/NettyManagedBuffer.java,2,0,1,1,1,0,0,1
