class,loc,Number of commentsComment,Number of line comments,Number of Block comments,Number of Javadoc comments,Number of Licence comments,Number of comments in methode,Number of method comments,Number of class comments,pmd_CouplingBetweenObjects:,pmd_AvoidDuplicateLiterals:,pmd_LooseCoupling:,pmd_GodClass:,pmd_LawOfDemeter:,pmd_CognitiveComplexity:,pmd_CyclomaticComplexity:,pmd_NPathComplexity:,pmd_MutableStaticState:,pmd_MethodReturnsInternalArray:,pmd_ExcessiveImports:,pmd_NcssCount:,pmd_AvoidDeeplyNestedIfStmts:,pmd_DataClass:,pmd_ExcessiveParameterList:,sonar_java:S1118,sonar_java:S3457,sonar_java:S3252,sonar_java:S1192,sonar_java:S1659,sonar_java:S115,sonar_java:S4274,sonar_java:S1319,sonar_java:S1210,sonar_java:S100,sonar_java:S2386,sonar_java:S1135,sonar_java:S6208,sonar_java:S3776,sonar_java:S112,sonar_java:S1170,sonar_java:S116,sonar_java:S107,sonar_java:S1611,sonar_java:S6201,sonar_java:S2629,sonar_java:S1125,sonar_java:S131,sonar_java:S108,sonar_java:S5411,sonar_java:S5803,sonar_java:S1871,sonar_java:S1117,sonar_java:S3740,sonar_java:S2093,sonar_java:S1612,sonar_java:S1141,sonar_java:S1604,sonar_java:S1186,sonar_java:S1168,sonar_java:S4042,sonar_java:S6548,sonar_java:S2293,sonar_java:S1126,sonar_java:S125,sonar_java:S1181,sonar_java:S1185,sonar_java:S6541,sonar_java:S117,sonar_java:S1700,sonar_java:S1130,sonar_java:S1874,sonar_java:S1066,sonar_java:S1452,sonar_java:S1133,sonar_java:S1488,sonar_java:S1161,sonar_java:S1905,sonar_java:S106,sonar_java:S1948,sonar_java:S1165,sonar_java:S1301,sonar_java:S127,sonar_java:S135,sonar_java:S1602,sonar_java:S1994,sonar_java:S4968,sonar_java:S1104,sonar_java:S3008,sonar_java:S2139,sonar_java:S3398,sonar_java:S6204,sonar_java:S3358,sonar_java:S2130,sonar_java:S1128,sonar_java:S1481,sonar_java:S1854,sonar_java:S1155,sonar_java:S6539,sonar_java:S6213,sonar_java:S2176,sonar_java:S6126,sonar_java:S5361,sonar_java:S3011,sonar_java:S2388,sonar_java:S1163,sonar_java:S1450,sonar_java:S1075,sonar_java:S2065,sonar_java:S4738,sonar_java:S101,sonar_java:S4144,sonar_java:S1191,sonar_java:S1182,sonar_java:S2975,sonar_java:S1068,sonar_java:S2387,sonar_java:S6353,sonar_java:S119,sonar_java:S1119,sonar_java:S2178,sonar_java:S5869
/launcher/src/main/java/org/apache/spark/launcher/AbstractAppHandle.java,113,8,6,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/common/network-common/src/main/java/org/apache/spark/network/server/AbstractAuthRpcHandler.java,69,4,0,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/launcher/src/main/java/org/apache/spark/launcher/AbstractCommandBuilder.java,213,28,21,1,6,1,19,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/protocol/AbstractFetchShuffleBlocks.java,53,4,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/common/network-common/src/main/java/org/apache/spark/network/util/AbstractFileRegion.java,29,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/launcher/src/main/java/org/apache/spark/launcher/AbstractLauncher.java,143,20,2,1,17,1,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/common/network-common/src/main/java/org/apache/spark/network/protocol/AbstractMessage.java,25,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/common/network-common/src/main/java/org/apache/spark/network/protocol/AbstractResponseMessage.java,8,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/read/streaming/AcceptsLatestSeenOffset.java,4,3,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/expressions/aggregate/AggregateFunc.java,7,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
