class,loc
/launcher/src/main/java/org/apache/spark/launcher/AbstractAppHandle.java,113
/common/network-common/src/main/java/org/apache/spark/network/server/AbstractAuthRpcHandler.java,69
/launcher/src/main/java/org/apache/spark/launcher/AbstractCommandBuilder.java,213
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/protocol/AbstractFetchShuffleBlocks.java,53
/common/network-common/src/main/java/org/apache/spark/network/util/AbstractFileRegion.java,29
/launcher/src/main/java/org/apache/spark/launcher/AbstractLauncher.java,143
/common/network-common/src/main/java/org/apache/spark/network/protocol/AbstractMessage.java,25
/common/network-common/src/main/java/org/apache/spark/network/protocol/AbstractResponseMessage.java,8
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/read/streaming/AcceptsLatestSeenOffset.java,4
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/expressions/aggregate/AggregateFunc.java,7
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/catalog/functions/AggregateFunction.java,12
/sql/core/src/main/java/org/apache/spark/sql/execution/vectorized/AggregateHashMap.java,62
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/expressions/aggregate/Aggregation.java,9
/common/tags/src/main/java/org/apache/spark/annotation/AlphaComponent.java,6
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/expressions/filter/AlwaysFalse.java,21
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/expressions/filter/AlwaysTrue.java,21
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/expressions/filter/And.java,10
/core/src/main/java/org/apache/spark/status/api/v1/ApplicationStatus.java,9
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/AppsWithRecoveryDisabled.java,24
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/ArrayWrappers.java,150
/sql/catalyst/src/main/java/org/apache/spark/sql/vectorized/ArrowColumnVector.java,481
/common/network-common/src/main/java/org/apache/spark/network/crypto/AuthClientBootstrap.java,73
/common/network-common/src/main/java/org/apache/spark/network/crypto/AuthEngine.java,154
/common/network-common/src/main/java/org/apache/spark/network/crypto/AuthMessage.java,33
/common/network-common/src/main/java/org/apache/spark/network/crypto/AuthRpcHandler.java,95
/common/network-common/src/main/java/org/apache/spark/network/crypto/AuthServerBootstrap.java,23
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/expressions/aggregate/Avg.java,17
/connector/avro/src/main/java/org/apache/spark/sql/avro/AvroCompressionCodec.java,42
/common/network-common/src/main/java/org/apache/spark/network/client/BaseResponseCallback.java,4
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/read/Batch.java,7
/streaming/src/main/java/org/apache/spark/status/api/v1/streaming/BatchStatus.java,10
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/write/BatchWrite.java,12
/common/sketch/src/main/java/org/apache/spark/util/sketch/BitArray.java,89
/sql/catalyst/src/main/java/org/apache/spark/sql/catalyst/expressions/BitmapExpressionUtils.java,29
/common/unsafe/src/main/java/org/apache/spark/unsafe/bitset/BitSetMethods.java,61
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/BlockFetchingListener.java,18
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/BlockPushingListener.java,18
/common/network-common/src/main/java/org/apache/spark/network/server/BlockPushNonFatalFailure.java,69
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/protocol/BlockPushReturnCode.java,53
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/protocol/BlocksRemoved.java,43
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/BlockStoreClient.java,129
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/BlockTransferListener.java,8
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/protocol/BlockTransferMessage.java,57
/common/sketch/src/main/java/org/apache/spark/util/sketch/BloomFilter.java,70
/common/sketch/src/main/java/org/apache/spark/util/sketch/BloomFilterImpl.java,204
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/catalog/functions/BoundFunction.java,20
/sql/core/src/main/java/org/apache/spark/sql/execution/BufferedRowIterator.java,36
/sql/catalyst/src/main/java/org/apache/spark/sql/catalyst/expressions/codegen/BufferHolder.java,71
/core/src/main/java/org/apache/spark/shuffle/sort/BypassMergeSortShuffleWriter.java,224
/common/unsafe/src/main/java/org/apache/spark/unsafe/types/ByteArray.java,157
/common/unsafe/src/main/java/org/apache/spark/unsafe/array/ByteArrayMethods.java,81
/common/network-common/src/main/java/org/apache/spark/network/util/ByteArrayReadableChannel.java,37
/common/network-common/src/main/java/org/apache/spark/network/util/ByteArrayWritableChannel.java,33
/core/src/main/java/org/apache/spark/unsafe/map/BytesToBytesMap.java,586
/common/utils/src/main/java/org/apache/spark/network/util/ByteUnit.java,39
/common/unsafe/src/main/java/org/apache/spark/unsafe/types/CalendarInterval.java,75
/sql/catalyst/src/main/java/org/apache/spark/sql/util/CaseInsensitiveStringMap.java,127
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/expressions/Cast.java,17
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/catalog/CatalogExtension.java,7
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/catalog/CatalogPlugin.java,12
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/checksum/Cause.java,4
/sql/catalyst/src/main/java/org/apache/spark/sql/catalyst/util/CharVarcharCodegenUtils.java,44
/core/src/main/java/org/apache/spark/util/ChildFirstURLClassLoader.java,43
/launcher/src/main/java/org/apache/spark/launcher/ChildProcAppHandle.java,81
/common/network-common/src/main/java/org/apache/spark/network/protocol/ChunkFetchFailure.java,47
/common/network-common/src/main/java/org/apache/spark/network/client/ChunkFetchFailureException.java,9
/common/network-common/src/main/java/org/apache/spark/network/protocol/ChunkFetchRequest.java,40
/common/network-common/src/main/java/org/apache/spark/network/server/ChunkFetchRequestHandler.java,99
/common/network-common/src/main/java/org/apache/spark/network/protocol/ChunkFetchSuccess.java,52
/common/network-common/src/main/java/org/apache/spark/network/client/ChunkReceivedCallback.java,6
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/distributions/ClusteredDistribution.java,7
/common/utils/src/main/java/org/apache/spark/api/java/function/CoGroupFunction.java,7
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationFactory.java,152
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,538
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/catalog/Column.java,54
/sql/catalyst/src/main/java/org/apache/spark/sql/vectorized/ColumnarArray.java,147
/sql/catalyst/src/main/java/org/apache/spark/sql/vectorized/ColumnarBatch.java,54
/sql/catalyst/src/main/java/org/apache/spark/sql/vectorized/ColumnarBatchRow.java,164
/sql/catalyst/src/main/java/org/apache/spark/sql/vectorized/ColumnarMap.java,27
/sql/catalyst/src/main/java/org/apache/spark/sql/vectorized/ColumnarRow.java,164
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/catalog/ColumnDefaultValue.java,36
/sql/core/src/main/java/org/apache/spark/sql/execution/columnar/ColumnDictionary.java,37
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/read/colstats/ColumnStatistics.java,29
/sql/catalyst/src/main/java/org/apache/spark/sql/vectorized/ColumnVector.java,102
/sql/core/src/main/java/org/apache/spark/sql/execution/vectorized/ColumnVectorUtils.java,198
/launcher/src/main/java/org/apache/spark/launcher/CommandBuilderUtils.java,231
/connector/connect/server/src/main/java/org/apache/spark/sql/connect/plugin/CommandPlugin.java,5
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/read/streaming/CompositeReadLimit.java,26
/common/network-common/src/main/java/org/apache/spark/network/util/ConfigProvider.java,26
/sql/core/src/main/java/org/apache/spark/sql/execution/vectorized/ConstantColumnVector.java,196
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/Constants.java,7
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/read/streaming/ContinuousPartitionReader.java,7
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/read/streaming/ContinuousPartitionReaderFactory.java,17
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/read/streaming/ContinuousStream.java,13
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/protocol/CorruptionCause.java,44
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/expressions/aggregate/Count.java,17
/common/sketch/src/main/java/org/apache/spark/util/sketch/CountMinSketch.java,49
/common/sketch/src/main/java/org/apache/spark/util/sketch/CountMinSketchImpl.java,275
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/expressions/aggregate/CountStar.java,11
/common/network-common/src/main/java/org/apache/spark/network/util/CryptoUtils.java,17
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/metric/CustomAvgMetric.java,19
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/metric/CustomMetric.java,9
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/metric/CustomSumMetric.java,13
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/metric/CustomTaskMetric.java,8
/sql/api/src/main/java/org/apache/spark/sql/types/DataTypes.java,111
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/write/DataWriter.java,20
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/write/DataWriterFactory.java,9
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/DateTimeConstants.java,22
/common/network-common/src/main/java/org/apache/spark/network/shuffledb/DB.java,10
/common/network-common/src/main/java/org/apache/spark/network/shuffledb/DBBackend.java,15
/common/network-common/src/main/java/org/apache/spark/network/shuffledb/DBIterator.java,12
/common/network-common/src/main/java/org/apache/spark/network/util/DBProvider.java,48
/sql/hive/src/main/java/org/apache/hadoop/hive/ql/io/DelegateSymlinkTextInputFormat.java,76
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/catalog/DelegatingCatalogExtension.java,147
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/write/DeltaBatchWrite.java,7
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/write/DeltaWrite.java,12
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/write/DeltaWriteBuilder.java,12
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/write/DeltaWriter.java,13
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/write/DeltaWriterFactory.java,8
/common/tags/src/main/java/org/apache/spark/annotation/DeveloperApi.java,7
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/protocol/DiagnoseCorruption.java,101
/sql/core/src/main/java/org/apache/spark/sql/execution/vectorized/Dictionary.java,8
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/distributions/Distribution.java,4
/sql/catalyst/src/main/java/org/apache/spark/sql/connector/distributions/Distributions.java,18
/common/utils/src/main/java/org/apache/spark/api/java/function/DoubleFlatMapFunction.java,7
/common/utils/src/main/java/org/apache/spark/api/java/function/DoubleFunction.java,6
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/DownloadFile.java,7
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/DownloadFileManager.java,6
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/DownloadFileWritableChannel.java,6
/core/src/main/java/org/apache/spark/api/plugin/DriverPlugin.java,16
/core/src/main/java/org/apache/spark/serializer/DummySerializerInstance.java,54
/graphx/src/main/java/org/apache/spark/graphx/impl/EdgeActiveness.java,8
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encodable.java,6
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encoders.java,145
/common/network-common/src/main/java/org/apache/spark/network/protocol/EncryptedMessageWithHeader.java,97
/core/src/main/java/org/apache/spark/util/EnumUtil.java,20
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/ErrorHandler.java,48
/common/tags/src/main/java/org/apache/spark/annotation/Evolving.java,7
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/ExecutorDiskUtils.java,13
