class,smell,description
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/api/src/main/java/org/apache/spark/sql/streaming/TimeMode.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationFactory.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/catalyst/src/main/java/org/apache/spark/sql/catalyst/expressions/BitmapExpressionUtils.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/util/RocksDBProvider.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/util/DBProvider.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/core/src/main/java/org/apache/spark/sql/execution/datasources/orc/OrcFooterReader.java,java:S1118,Add a private constructor to hide the implicit public one.
/launcher/src/main/java/org/apache/spark/launcher/JavaModuleOptions.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/checksum/ShuffleChecksumHelper.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/core/src/main/java/org/apache/spark/sql/execution/datasources/orc/OrcColumnVectorUtils.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/core/src/main/java/org/apache/spark/sql/execution/datasources/parquet/ParquetFooterReader.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/catalyst/src/main/java/org/apache/spark/sql/catalyst/util/CharVarcharCodegenUtils.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encoders.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encoders.java,java:S1118,Add a private constructor to hide the implicit public one.
/examples/src/main/java/org/apache/spark/examples/streaming/JavaRecoverableNetworkWordCount.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/core/src/main/java/org/apache/parquet/filter2/predicate/SparkFilterApi.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/DateTimeConstants.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encoders.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/ExecutorDiskUtils.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encoders.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/Constants.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/kvstore/src/main/java/org/apache/spark/util/kvstore/ArrayWrappers.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/api/src/main/java/org/apache/spark/sql/streaming/Trigger.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/api/src/main/java/org/apache/spark/sql/streaming/GroupStateTimeout.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/util/CryptoUtils.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/unsafe/UnsafeAlignedOffset.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/util/LevelDBProvider.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/api/src/main/java/org/apache/spark/sql/streaming/OutputMode.java,java:S1118,Add a private constructor to hide the implicit public one.
/examples/src/main/java/org/apache/spark/examples/streaming/JavaSqlNetworkWordCount.java,java:S1118,Add a private constructor to hide the implicit public one.
/core/src/main/java/org/apache/spark/util/collection/unsafe/sort/PrefixComparators.java,java:S1118,Add a private constructor to hide the implicit public one.
/core/src/main/java/org/apache/spark/util/collection/unsafe/sort/PrefixComparators.java,java:S1118,Add a private constructor to hide the implicit public one.
/core/src/main/java/org/apache/spark/util/collection/unsafe/sort/PrefixComparators.java,java:S1118,Add a private constructor to hide the implicit public one.
/core/src/main/java/org/apache/spark/util/collection/unsafe/sort/RadixSort.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/core/src/main/java/org/apache/spark/sql/expressions/javalang/typed.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/sketch/src/main/java/org/apache/spark/util/sketch/Utils.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/core/src/main/java/org/apache/spark/sql/execution/vectorized/ColumnVectorUtils.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/sketch/src/main/java/org/apache/spark/util/sketch/Platform.java,java:S1118,Add a private constructor to hide the implicit public one.
/examples/src/main/java/org/apache/spark/examples/streaming/JavaRecoverableNetworkWordCount.java,java:S1118,Add a private constructor to hide the implicit public one.
/launcher/src/main/java/org/apache/spark/launcher/LauncherProtocol.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/unsafe/types/ByteArray.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/unsafe/Platform.java,java:S1118,Add a private constructor to hide the implicit public one.
/core/src/main/java/org/apache/spark/util/EnumUtil.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/sasl/SaslEncryption.java,java:S1118,Add a private constructor to hide the implicit public one.
/launcher/src/main/java/org/apache/spark/launcher/CommandBuilderUtils.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/api/src/main/java/org/apache/spark/sql/RowFactory.java,java:S1118,Add a private constructor to hide the implicit public one.
/sql/api/src/main/java/org/apache/spark/sql/types/DataTypes.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encoders.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encoders.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encoders.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/protocol/Encoders.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/protocol/BlockTransferMessage.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/network-common/src/main/java/org/apache/spark/network/util/NettyUtils.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/utils/src/main/java/org/apache/spark/network/util/JavaUtils.java,java:S1118,Add a private constructor to hide the implicit public one.
/core/src/main/java/org/apache/spark/api/java/StorageLevels.java,java:S1118,Add a private constructor to hide the implicit public one.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/main/java/org/apache/spark/sql/catalyst/util/CollationSupport.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/network-common/src/main/java/org/apache/spark/network/ssl/ReloadingX509TrustManager.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/network-common/src/main/java/org/apache/spark/network/util/RocksDBProvider.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/checksum/ShuffleChecksumHelper.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/ExternalShuffleBlockResolver.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaRankingMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/sql/catalyst/src/main/java/org/apache/spark/sql/util/CaseInsensitiveStringMap.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaRankingMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/network-common/src/main/java/org/apache/spark/network/util/LevelDBProvider.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/network-shuffle/src/main/java/org/apache/spark/network/shuffle/ExternalShuffleBlockResolver.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/ml/JavaGaussianMixtureExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/core/src/main/java/org/apache/spark/shuffle/sort/ShuffleExternalSorter.java,java:S3457,Format specifiers should be used instead of string concatenation.
/core/src/main/java/org/apache/spark/util/collection/unsafe/sort/UnsafeExternalSorter.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaGaussianMixtureExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMulticlassClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMulticlassClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMulticlassClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMultiLabelClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMulticlassClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMulticlassClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMulticlassClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaMulticlassClassificationMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaRankingMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaRankingMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaRankingMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaRankingMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/examples/src/main/java/org/apache/spark/examples/mllib/JavaRankingMetricsExample.java,java:S3457,Format specifiers should be used instead of string concatenation.
/core/src/main/java/org/apache/spark/memory/TaskMemoryManager.java,java:S3457,Format specifiers should be used instead of string concatenation.
/core/src/main/java/org/apache/spark/memory/TaskMemoryManager.java,java:S3457,Format specifiers should be used instead of string concatenation.
/common/unsafe/src/test/java/org/apache/spark/unsafe/types/CollationSupportSuite.java,java:S5961,Refactor this method to reduce the number of assertions from 49 to less than 25.
/common/unsafe/src/test/java/org/apache/spark/unsafe/types/CollationSupportSuite.java,java:S5961,Refactor this method to reduce the number of assertions from 49 to less than 25.
/common/unsafe/src/test/java/org/apache/spark/unsafe/types/CollationSupportSuite.java,java:S5961,Refactor this method to reduce the number of assertions from 49 to less than 25.
/common/unsafe/src/test/java/org/apache/spark/unsafe/types/CollationSupportSuite.java,java:S5961,Refactor this method to reduce the number of assertions from 49 to less than 25.
/common/unsafe/src/test/java/org/apache/spark/unsafe/types/CollationSupportSuite.java,java:S5961,Refactor this method to reduce the number of assertions from 49 to less than 25.
/common/unsafe/src/test/java/org/apache/spark/unsafe/types/UTF8StringSuite.java,java:S5961,Refactor this method to reduce the number of assertions from 49 to less than 25.
/common/unsafe/src/test/java/org/apache/spark/unsafe/types/CollationSupportSuite.java,java:S5961,Refactor this method to reduce the number of assertions from 49 to less than 25.
/common/unsafe/src/test/java/org/apache/spark/unsafe/types/CollationSupportSuite.java,java:S5961,Refactor this method to reduce the number of assertions from 49 to less than 25.
/common/unsafe/src/test/java/org/apache/spark/unsafe/types/CollationSupportSuite.java,java:S5961,Refactor this method to reduce the number of assertions from 49 to less than 25.
/common/unsafe/src/test/java/org/apache/spark/unsafe/types/CollationSupportSuite.java,java:S5961,Refactor this method to reduce the number of assertions from 49 to less than 25.
